	accession	url	title	projectDescription	species	tissues	ptms	instrumentNames	projectTags	experimentTypes	quantificationMethods	keywords	dataProcessingProtocol	submissionDate	references
839	PXD007921	https://www.ebi.ac.uk/pride/ws/archive/project/PXD007921	Global phosphoproteomic analysis of signaling by distinct chimeric antigen receptors reveals kinetic and quantitative differences that influence cell function	Chimeric antigen receptors (CARs) are synthetic proteins that redirect T cell specificity by linking an extracellular ligand binding domain to intracellular T cell signaling domains. CAR-expressing T (CAR-T) cells have demonstrated significant efficacy for the treatment of refractory B cell malignancies and are being evaluated as immunotherapeutic reagents for many other cancers. CAR designs are based on the fundamental principles of TCR recognition and most CARs employ the T cell-activating CD3z endodomain alongside a costimulatory domain from CD28 or 4-1BB. However, emerging data suggest that CD28/CD3z and 4-1BB/CD3z signaling modules promote divergent metabolic pathways, gene expression programs, and cell fates. To determine how CAR phosphoprotein signaling drives these disparate cell fates, we analyzed CAR ligation-induced signaling networks in primary human T cells using shotgun mass spectrometry. We isolated CD8+CD62L+ T cells from healthy donors and introduced a CD28/CD3z or 4-1BB/CD3z CAR by lentiviral transduction. Transduced T cells were purified by FACS and expanded once in vitro. When the cells returned to a resting state, CD28/CD3z or 4-1BB/CD3z CAR-T cells were stimulated for 10 or 45 minutes with magnetic microbeads coated with a monoclonal antibody specific for a 9 amino acid tag in the CAR extracellular sequence. CAR-T cells were also left unstimulated for 10 or 45 minutes to serve as controls. Altogether, 8 unique conditions were tested in an experiment and three independent experiments were performed.	"[""Homo sapiens (Human)""]"		"[{""ptm"":""phosphorylated residue"",""UNIMOD"":""21""},{""ptm"":""carbamoylated residue"",""UNIMOD"":""5""}]"	"[""Orbitrap Fusion""]"	"[""Biomedical"",""Biological""]"	"[""Shotgun proteomics""]"	"[""TMT""]"	Chimeric antigen receptor, T cell, primary T cell, phosphoprotein signaling, basic reverse phase fractionation, IMAC enrichment, phosphoproteomics, LC-MS/MS	Raw MS/MS spectra from the analysis were searched against reviewed Human Universal Protein Resource (UniProt) sequence database release 2016_01 using MaxQuant/Andromeda.  The search was performed with tryptic enzyme constraint set for up to two missed cleavages, oxidized methionine and phosphorylated serine, threonine and tyrosine set as a variable modification, and carbamidomethylated cysteine set as a static modification.  Peptide MH+ mass tolerances were set at 20 ppm. The overall FDR was set at ≤1%. Quantification of TMT ratios was performed using MaxQuant, Perseus, and Microsoft Excel.	2017-12-14	
840	PXD008819	https://www.ebi.ac.uk/pride/ws/archive/project/PXD008819	Confirmation of SOMAmer® Enrichment from Biological Matrices using Mass Spectrometry	In an effort to confirm binding of SOMAmer®s to their respective targets in an endogenous matrix, we have conducted a series of experiments using SOMAmer®s to enrich target proteins followed by measurement using two mass spectrometry techniques:  data dependent analysis (DDA) and multiple reaction monitoring (MRM). For data dependent analysis, the library of 4783 SOMAmer®s were multiplexed in sets of 8 and used for enrichment of target proteins from cell lysate and conditioned media, as well as human plasma and serum.  A subset of the SOMAmer®s were screened in urine by this global profiling technique as well.  Cell lines were selected from Cancer Cell Line Encyclopedia for screening by comparing gene expression of the target proteins measured by RNA sequencing across the CCLE.1  Using the criterion of FPKM value greater than 5 for the target protein, the minimum number of cell lines was grown to maximize protein coverage across the SOMAmer® library.  For a given cell line, the presence of at least 8 target proteins with FPKM values greater than 5was required for inclusion.  Approximately 400 target proteins were not covered by this strategy were screened in serum and plasma only.  For enrichment from biological matrices, SOMAmer®s were combined into sets of 8 such that the potential interaction with similar proteins or binding partners was minimized.  Non-specific binding of the SOMAmer®s was assessed in each matrix by using a SOMAmer® generated against the bacterial protein CysH.  Target protein spectral counts in the SOMAmer® enriched samples were compared to the respective CysH control.  A positive hit is defined as target protein detection with a minimum of 2 spectral counts and signal over CysH background greater than 10X (if applicable).	"[""Homo sapiens (Human)""]"	"[""cell culture"",""cell suspension culture""]"	"[{""ptm"":""iodoacetic acid derivatized residue"",""UNIMOD"":""6""},{""ptm"":""iodoacetamide derivatized residue"",""UNIMOD"":""4""},{""ptm"":""phosphorylated residue"",""UNIMOD"":""21""},{""ptm"":""monohydroxylated residue"",""UNIMOD"":""35""},{""ptm"":""deamidated residue"",""UNIMOD"":""7""}]"	"[""LTQ Orbitrap Velos"",""Q Exactive""]"	"[""Technical""]"	"[""Shotgun proteomics""]"	"[""Spectrum counting""]"	Blood serum, blood plasma, cell lysate, conditioned media, aptamer, SOMAmer	The data were searched using Uniprot Human canonical database (v Jan 2014) with common contaminants and reverse database appended (43136 sequences; 23452844 residues).  A very small number of the proteins on the SOMAmer® list are commonly found in the contaminants database.  This subset of proteins was searched with and without the contaminant database.  Raw data were processed with Mascot (v 2.4) using default parameters.  Trypsin enzyme specificity allowed for up to 2 missed cleavages.  The mass values are monoisotopic and the protein mass was unrestricted.  The peptide mass tolerance was +/- 15ppm, fragment mass tolerance +/- 0.8 Da, fixed modification Carbamidomethyl (C) and variable modifications: Oxidation (M), phospho (ST), phospho (Y).  In samples that were treated with PNGaseF the additional modification of deamidation (NQ) was used.  The PeptideProphet and ProteinProphet algorithms were used for peptide and protein identification, respectively (ISB/SPC Trans Proteomic Pipeline TPP v4.3 JETSTREAM rev 1, Build 200909091257 (MinGW)).  Protein results were then filtered using a false discovery rate of less than 1%.	2018-01-31	"[[""PMID:30072576"",""DOI:10.1126/science.aaq1327""]]"
842	PXD010527	https://www.ebi.ac.uk/pride/ws/archive/project/PXD010527	SPOP promotes transcriptional expression of DNA repair and replication factors to prevent replication stress and genomic instability.	Mutations in SPOP, the gene most frequently point-mutated in primary prostate cancer, are associated with a high degree of genomic instability and deficiency in homologous recombination repair of DNA but the underlying mechanisms. SPOP knockdown leads to spontaneous replication stress and impaired recovery from replication fork stalling. An SPOP interactome analysis shows that wild type (WT) SPOP but not mutant SPOP associates with multiple proteins involved in transcription, mRNA splicing and export. Consistent with the association of SPOP with transcription, splicing and RNA export complexes, the decreased expression of several components of the DNA damage response pathway occurs at the level of transcription.	"[""Homo sapiens (Human)""]"	"[""prostate cancer cell""]"	"[{""ptm"":""No PTMs are included in the dataset""}]"	"[""Q Exactive""]"	"[""Biomedical""]"	"[""Shotgun proteomics""]"	"[""Label free""]"	Prostate cancer; SPOP; LC-MS/MS; interactome	Raw LC-MS files were processed using MaxQuant software (version 1.4.0.3, www.maxquant.org) and searched against species-specific Uniprot protein sequence databases and common contaminants using the Andromeda peptide search engine with a false discovery rate of 1% at both peptide and protein level. Bioinformatic analysis was performed using the Perseus computational platform.	2018-07-23	"[[""PMID:30124983"",""DOI:10.1093/nar/gky719""]]"
845	PXD007705	https://www.ebi.ac.uk/pride/ws/archive/project/PXD007705	Comparative proteomics reveals a diagnostic signature for pulmonary head-and-neck cancer metastasis.	This study represents a proteomic resource for HNSCC and SQCLC with quantitative protein expression data for 7800 proteins and provides a proteomic diagnostic signature for classification for undetermined secondary lung tumors in HNSCC patients. By quantitative mass-spectrometry-based proteomics, we characterized a cohort of 63 squamous cell carcinomas of the lung (SQCLC), 49 of the head and neck region (HNSCC) and 51 HNSCC-correlated lung tumors with squamous cell histology that evolved in the course of the disease.	"[""Homo sapiens (Human)""]"	"[""lung""]"	"[{""ptm"":""iodoacetamide derivatized residue"",""UNIMOD"":""4""},{""ptm"":""monohydroxylated residue"",""UNIMOD"":""35""},{""ptm"":""acetylated residue"",""UNIMOD"":""1""}]"	"[""Q Exactive HF-X"",""Orbitrap Fusion""]"	"[""Biomedical""]"	"[""Shotgun proteomics""]"	"[""SILAC""]"	diagnostic Biomarker, head and neck cancer, lung cancer, squamous cell carcinoma, metastasis, human tissue proteomics	MS/MS spectra were searched against a UniProtKB/Swiss-Prot human database containing 134,921 protein entries (downloaded July 2014) supplemented with 245 frequently observed contaminants via the Andromeda search engine. Precursor and fragment ion mass tolerances were set to 6 and 20 ppm after initial recalibration, respectively. Protein N-terminal acetylation and methionine oxidation were allowed as variable modifications. Cysteine carbamidomethylation was defined as a fixed modification. Minimal peptide length was set to seven aminoacids, with a maximum of two missed cleavages. The false discovery rate (FDR) was set to 1% on both the peptide and the protein level using a forward-and-reverse concatenated decoy database approach. For SILAC quantification, multiplicity was set to two for double SILAC (Lys+0/Arg+0, Lys+4/Arg+6) labeling. At least two ratio counts were required for peptide quantification. The “match between runs” option of MaxQuant was disabled and the “re-quantify” option was enabled.	2018-04-25	"[[""DOI:10.15252/emmm.201708428"",""PMID:30097507""]]"
846	PXD006286	https://www.ebi.ac.uk/pride/ws/archive/project/PXD006286	iTRAQ-based quantitative proteome of HHD biopsies	the proteome of skin lesions from HHD patients was assembled and used for iTRAQ to analyze changes in skin lesions compared with unaffected individuals.	"[""Homo sapiens (Human)""]"	"[""skin""]"	"[{""ptm"":""iTRAQ8plex-116 reporter+balance reagent acylated residue""}]"	"[""Q Exactive""]"	"[""Biomedical""]"	"[""Gel-based experiment""]"		GO, Hailey-Hailey disease, iTRAQ, KEGG, proteome	iTRAQ-labeled peptides were fractionated by SCX chromatography using the AKTA Purifier system. We reconstituted the iTRAQ-labeled peptides in 2 mL of buffer A and fractionated them using a Polysulfoethyl 4.6 x 100 mm column at a flow rate of 1000 μL/min using our optimized laboratory protocol. The collected fractions  were finally combined into eight pools. After freeze-drying, the fractions were desalted on C18 Cartridges.  LC−MS/MS analysis was performed on an Easy nLC using a Q Exactive MS. The chromatographic column was equilibrated with buffer A before each sample was injected into the mass spectrometer. The HPLC mobile phase system was prepared as buffer A and buffer B. Five micrograms of the samples were loaded with an auto-sampler onto a Thermo Scientific EASY column (2 cm * 100 μm 5 μm-C18), then separated in the Thermo Scientific EASY column (75 μm * 100 mm 3 μm-C18) with a gradient of acetonitrile/0.1% (v/v) formic acid at a flow rate of 250 nL/min. Samples were separated using a 120 min gradient: 0−35% buffer B for 100 min, 35−100% buffer B for 8 min, and 100% buffer B for 12 min.  The mass spectrometer data were collected using a Q-Exactive mass spectrometer equipped with a nanospray ion source. A precursor ion scan in the range of 300-1800 mass/charge (m/z, resolution at 70000 at m/z = 200) was followed by MS scans of the 10 most abundant ions upon fragmentation at 30 eV normalized collision energy (isolation window of Δm/z = 2, resolution 17500 at m/z = 200).	2017-04-11	"[[""PMID:30506709"",""DOI:10.1002/jcb.27662""]]"
847	PXD009138	https://www.ebi.ac.uk/pride/ws/archive/project/PXD009138	Mice lacking the mitochondrial exonuclease MGME1 accumulate mtDNA deletions without developing progeria	Replication of mammalian mitochondrial DNA (mtDNA) is an essential process that requires high fidelity and control at multiple levels to ensure proper mitochondrial function. Mutations in the mitochondrial genome maintenance exonuclease 1 (MGME1) gene were recently reported in mitochondrial disease patients. Here, to study disease pathophysiology, we generated Mgme1 knockout mice and report that homozygous knockouts develop depletion and multiple deletions of mtDNA. The mtDNA replication stalling phenotypes vary dramatically in different tissues of Mgme1 knockout mice. Mice with MGME1 deficiency accumulate a long linear subgenomic mtDNA species, similar to the one found in mtDNA mutator mice, but do not develop progeria. This finding resolves a long-standing debate by showing that point mutations of mtDNA are the main cause of progeria in mtDNA mutator mice. We also propose a role for MGME1 in the regulation of replication and transcription termination at the end of the control region of mtDNA.	"[""Homo sapiens (Human)""]"		"[{""ptm"":""No PTMs are included in the dataset""}]"	"[""Q Exactive""]"	"[""Biological""]"	"[""Shotgun proteomics""]"		MGME1 knock out, mtDNA deletions, progeria	MaxQuant version 1.5.3.8 (Cox and Mann, 2008) with integrated Andromeda search engine (Cox et al., 2011) was used for analyzing the LC/MSMS raw data. The raw data were searched against the human proteome from UniProt (knowledgebase 2016_05). Following parameters were used for data analysis: for ‘’fixed modification’’: cysteine carbamidomethylation, methionine oxidation; for ‘’variable modification’’: methionine oxidation and protein N-terminal acetylation; for ‘’digestion’’ specific with Trypsin/P, Max. miss cleavages 2; for label-free quantification, match between runs is selected. Other parameters were set as default.  Protein quantification significant analysis was performed with the Perseus statistical framework (Cox, 2014) (http://www.perseus-framework.org/) version 1.5.2.4. After removing the contaminants and reverse identifications, the intensities were transformed to log2. The replicates of each genotype were grouped and filtered with at least 3 validate values in at least one group. The missing values were replaced from normal distribution with width of 0.3 and down shift of 1.8.  Mitochondrial proteins were filtered out for statistical analysis. Two-sample test was performed to identify the significantly different proteins. Each group has three replicates.  Proteins with an adjusted p-value (“BH” FDR of less than 0.001) were designated as differentially expressed.	2018-03-08	"[[""PMID:29572490"",""DOI:10.1038/s41467-018-03552-x""]]"
848	PXD006135	https://www.ebi.ac.uk/pride/ws/archive/project/PXD006135	Mps1 regulates kinetochore-microtubule attachment stability via the Ska complex to ensure error-free chromosome segregation	Spindle assembly checkpoint (SAC) regulators such as the Mps1 kinase not only delay anaphase onset, but also correct improper chromosome-spindle linkages that would otherwise lead to missegregation and aneuploidy. However, the substrates and mechanisms involved in this pathway of error correction remain poorly understood. Using a chemically tuned kinetochore-targeting assay, we show that Mps1 destabilizes microtubule attachments (K-fibers) epistatically to Aurora B, the other major error-correcting kinase. Through chemical genetics and quantitative proteomics, we identify both known and novel sites of Mps1- regulated phosphorylation at the outer kinetochore. Modification of these substrates was sensitive to microtubule tension and counterbalanced by the PP2A-B56 phosphatase, a positive regulator of chromosome-spindle interactions. Consistently, Mps1 inhibition rescued K-fiber stability after depleting PP2A-B56. We also identify the hinge region of the W-shaped Ska complex as a key effector of Mps1 at the kinetochore-microtubule interface, as mutations that mimic constitutive phosphorylation strongly destabilized K-fibers in vivo and inhibited the Ska complex’s conversion from lattice diffusion to end-coupled microtubule binding in vitro. Together these results provide new insights into how Mps1 modulates the microtubule-binding properties of the kinetochore to promote the selective stabilization of bipolar attachments and error-free chromosome segregation.	"[""Homo sapiens (Human)""]"		"[{""ptm"":""phosphorylated residue"",""UNIMOD"":""21""}]"	"[""LTQ Orbitrap""]"	"[""Biological""]"	"[""Shotgun proteomics""]"		Chemical genetics, proteomics, Spindle assembly checkpoint (SAC), Mps1, PP2A-B56, Ska complex	All raw files acquired in this study were collectively processed with the MaxQuant software suite (version 1.0.13.13), which performs peak list generation, SILAC-based quantification, estimation of false discovery rates, peptide to protein group assembly, and phosphorylation site localization as described previously (Cox and Mann, 2008; Oppermann et al., 2012). Peak lists were searched against concatenated forward and reversed version of the human International Protein Index database (IPI version 3.37) using the Mascot search engine (version 2.2.04). SILAC spectra detected by pre-search MaxQuant analysis were searched with the additional fixed modifications Arg10 and/or Lys8, whereas spectra for which a SILAC state was not assignable were searched with Arg10 and Lys8 as variable modifications. The accepted estimated FDR determined on the basis of peptide-spectral matches in the reversed database version was set to 1% for both peptide and protein identifications. Phosphorylation sites were assigned by the PTM scoring algorithm implemented in MaxQuant as described (Olsen et al., 2006; Olsen et al., 2010). All phosphopeptide or phosphosite ratios measured in at least two biological replicates of each cell line were log2-transformed and subjected to two-class, unpaired SAM analysis of Mps1as versus Mps1wt cells ± 3-MB-PP1 as described previously (Oppermann et al., 2012; Tusher et al., 2001). Phosphopeptides and phosphosites of the SAM output with a false discovery rate (FDR or q value) of 0% (obtained for Δ ≥ 1.189 and Δ ≥ 1.268, respectively) and ≥ 2-fold regulation in 3MB-PP1- treated Mps1as cells were rated as significant.	2017-03-21	"[[""PMID:28441529"",""DOI:10.1016/j.devcel.2017.03.025""]]"
849	PXD002629	https://www.ebi.ac.uk/pride/ws/archive/project/PXD002629	Human γδ T-cell, LC-MS/MS -  Zoledronic acid boosts γδ T-cell activity in children receiving αβ+ T and CD19+ cell-depleted grafts from an HLA-haplo-identical donor	A new method of graft manipulation based on physical removal of αβ+ T cells and CD19+ B cells, leaving mature NK cells and γδ T cells in the graft, has been recently developed for HLA-haploidentical HSCT. We demonstrated that γδ T cells collected from transplanted patients are endowed with capacity of killing leukemia cells after ex vivo treatment with zoledronic acid (ZOL). Thus, we hypothesized that infusion of ZOL in patients receiving this type of graft, may boost γδ T cell cytotoxic activity against acute leukemia blasts.	"[""Homo sapiens (Human)""]"	"[""blood""]"	"[{""ptm"":""iodoacetamide derivatized residue"",""UNIMOD"":""4""},{""ptm"":""monohydroxylated residue"",""UNIMOD"":""35""},{""ptm"":""deamidated residue"",""UNIMOD"":""7""},{""ptm"":""acetylated residue"",""UNIMOD"":""1""}]"	"[""LTQ Orbitrap Velos""]"	"[""Biomedical""]"	"[""Shotgun proteomics""]"		γδ T-cell, Leukemia Cells, Human, Zolendric Acid (ZOL)	Identification, quantification and data normalization were achieved by an intensity-based label-free approach using MaxQuant.	2015-07-29	"[[""DOI:10.1080/2162402X.2016.1216291"",""PMID:28344861""]]"
851	PXD007513	https://www.ebi.ac.uk/pride/ws/archive/project/PXD007513	Histone interaction landscapes visualized by crosslinking mass spectrometry in intact cell nuclei	Cells organize their actions partly through tightly controlled protein-protein interactions – collectively termed the interactome. Here we use crosslinking mass spectrometry (XL-MS) to chart the interactome of intact human nuclei. We overall identified ~8700 crosslinks, of which 2/3 represent links connecting distinct proteins. From this data we constructed an overview of the nuclear interactome. We observed that the histone proteins on the nucleosomes expose well-defined crosslinking hot-spots. For several nucleosome-interacting proteins, such as USF3 and Ran GTPase, the data allowed us to build models of their binding mode to the nucleosome. For HMGN2 the data guided the construction of a refined model of the interaction with the nucleosome, based on complementary NMR, XL-MS and modeling. Excitingly, several isoform-specific interactors seem to exist for distinct histone H1 variants and the analysis of crosslinks carrying post-translational modifications allowed us to extract how specific modifications influence the nucleosome interactome. Overall, our data depository will support future structural and functional analysis of cell nuclei, including the nucleoprotein assemblies they harbor.	"[""Homo sapiens (Human)""]"		"[{""ptm"":""iodoacetamide derivatized residue"",""UNIMOD"":""4""},{""ptm"":""monohydroxylated residue"",""UNIMOD"":""35""}]"	"[""Orbitrap Fusion ETD""]"	"[""Biological""]"	"[""Chemical cross-linking coupled with mass spectrometry proteomics""]"		Nuclear interactome, Crosslinking Mass Spectrometry, Nuclear protein-protein interactions, Histone interaction network – PTM interplay, Histone variant specific interactions	Proteome Discoverer 2.2 (beta, version 2.2.0.196) was used for data analysis with the XlinkX (beta, version 0.1.3) nodes integrated. The processing workflow was set up with the following nodes. The built-in nodes ‘Spectrum Files’ and ‘Spectrum Selector’ were used to extract the MS2 scans together with a precise precursor m/z and charge. To extract precursor intensity information we added the built-in node ‘Minora feature detection’. The following crosslinking workflow consists of the following nodes. The ‘XlinkX Detect’ node performs diagnostic peak detection specific for the used labile crosslinker DSSO. The following ‘XlinkX Filter’ nodes only filters out all MS2 scans for which no diagnostic peak set was detected. The remaining MS2 scans were identified with the dedicated crosslink peptide search engine ‘XlinkX Search’ node, for which the following settings were used: Uniprot human protein database from January 2016 containing 42150 proteins, protease Trypsin (Full), 2 allowed missed cleavages, precursor mass tolerance of 10 ppm, fragment mass tolerance of 20 ppm, carbamidomethyl on C as static modification, oxidation on M as variable modification, where appropriate acetylation or ubiquitination on K were also set as variable modification. The results from the search were FDR corrected to 1% using the ‘XlinkX Validator’ node, which utilizes a specific set of crosslink peptide spectral features and machine learning to define the cutoff as developed for peptide spectral matches in Percolator. Finally, in the ‘Crosslink Consensus’ node the individual crosslink spectral matches were grouped in those cases where they represent the same peptide sequence and modification state.	2018-04-10	"[[""DOI:10.1074/mcp.ra118.000924"",""PMID:30021884""]]"
854	PXD007894	https://www.ebi.ac.uk/pride/ws/archive/project/PXD007894	Absolute quantitation of proteins by two-point quantitation using dimethylated proteotypic peptides	Absolute targeted proteomics typically employs known amounts of synthetic stable isotopically labeled peptides which are mixed with the analyte and analysed by LC-MS. In order to obtain accurate data, we evaluated the use of two different stable isotopes of the same peptide as spike-in for absolute quantification. For this purpose, peptide labeling by reductive amination was applied, which is a mild reaction for dimethylation of amine groups with very high yield and very little side reactions. Furthermore, three different forms can be generated with e.g., light and heavy labels for spike-in peptides, and medium label for endogenous peptides. The addition of the dimethylated proteotypic peptide in two different versions allows to determine the accuracy of the quantification of endogenous peptides using the relative ratio of the intensities of the two internal standards. The method was studied with peptides of apolipoprotein A-I, apolipoprotein B-100, and leucine-rich alpha-2-glycoprotein without and with serum. In serum, the endogenous protein concentrations were accurately measured across four orders of magnitude by the two-point quantitation method. Less than 20% of coefficient of variation (CV) values and strong correlation with R2 of 0.99 across three analytical replicates was observed. The results showed that the accuracy to determine the amount of endogenous peptides can be validated using two references against each other, which cannot be obtained by one-point quantitation. Because of the significant lower costs than synthetic stable isotopically labeled peptides, this approach might be particularly interesting for the absolute quantitation of multiple proteins.	"[""Homo sapiens (Human)""]"	"[""blood serum""]"	"[{""ptm"":""No PTMs are included in the dataset""}]"	"[""Q Exactive""]"		"[""SRM/MRM""]"		absolute quantitation, dimethylation; mass spectrometry, parallel reaction monitoring, targeted proteomics	All raw files were converted to mgf files and searched against the human Swiss-Prot database (Swiss-Prot, release 20160121, 20187 entries) using Mascot (version 2.4.0, Matrix Science, London, UK) with the following parameters: parent tolerance, 10 ppm; fragment tolerance: 0.05 Da; enzyme: trypsin; max missed cleavage: 1; variable modifications: dimethylation_heavy (N-terminal and lysine, 36.075670), dimethylation_light (N-terminal and lysine, 28.031300), and dimethylation_medium (N-terminal and lysine, 32.056407). The search results together with raw files were imported to the open source program Skyline-daily v3.7 (MacCoss Lab Software) embedded with MSstats (Bioconductor version 3.4) for statistical analysis [10, 12]. Here, peptide identifications,  extracted chromatograms, peak areas, and retention times of each peptide were analyzed. A 1% FDR  cut-off value was used for all datasets. The peak areas of both labeled and unlabeled peptides were employed to determine the efficiency of dimethylation labeling. An average number of the six most intense fragment ions of each labeled peptide, together with their peak areas were extracted, exported, and analyzed by R version 3.3.1 (Cran.r-project) and RStudio version 1.0.153 for quantitation. In addition, the coefficient of variation (CV) was determined for each peptide and displayed in the supplementary material.	2018-05-29	"[[""DOI:10.1039/c8an01081a"",""PMID:30112540""]]"
855	PXD009949	https://www.ebi.ac.uk/pride/ws/archive/project/PXD009949	DIA-SIFT: A precursor and product ion filter for accurate stable isotope data-independent acquisition proteomics	Human 293T cells grown in SILAC media, mixed at known ratios (1/5, 1/3, 1/2, 1, 2, 3, 5). Data acquired using the UDMSE method on a Synapt G2-S. Accompanies the DIA-SIFT project (github.com/martin-lab/DIA-SIFT).	"[""Homo sapiens (Human)""]"		"[{""ptm"":""iodoacetamide derivatized residue"",""UNIMOD"":""4""}]"	"[""Synapt MS""]"	"[""Technical""]"	"[""HDMSE"",""All-ion fragmentation"",""Shotgun proteomics"",""MSE""]"	"[""SILAC""]"	Human, SILAC, MSE, Synapt, 293T	Raw data were analyzed with ProteinLynx Global SERVER version 3.0.2 (PLGS, Waters Corporation), searching against a database of the human proteome (downloaded from UniProt on February 11, 2016). The following criteria were applied in the search: (i) trypsin as digestion enzyme, (ii) one missed cleavage allowed, (iii) carbamidomethyl cysteine, Heavy (13C6, 15N2 +8.014 Da) lysine, and Heavy (13C6, 15N4 +10.021 Da) arginine as fixed modifications and methionine oxidation as a variable modification, (iv) a minimum of two identified fragment ions per peptide and a minimum of five fragments per protein, and (v) at least two identified peptides per protein. The false discovery rate for peptide and protein identification was set at 1% using a decoy database of reversed protein sequences. Any identified peptides with a calculated mass error greater than 10 ppm were not considered	2018-05-29	"[[""DOI:10.1021/acs.analchem.8b01618"",""PMID:29989796""]]"
857	PXD002133	https://www.ebi.ac.uk/pride/ws/archive/project/PXD002133	Identifying Kinase Substrates via a Heavy ATP Kinase Assay and Quantitative Mass Spectrometry	Mass spectrometry‐based in vitro kinase screens play an essential role in the discovery of kinase substrates, however, many suffer from biological and technical noise or necessitate genetically‐altered enzymecofactor systems. We describe a method that combines stable γ‐[18O2]‐ATP with classical in vitro kinase assays within a contemporary quantitative proteomic workflow. Our approach improved detection of known substrates of the non‐receptor tyrosine kinase ABL1; and identified potential, new in vitro substrates.	"[""Homo sapiens (Human)""]"	"[""kidney""]"	"[{""ptm"":""iodoacetamide derivatized residue"",""UNIMOD"":""4""},{""ptm"":""phosphorylated residue"",""UNIMOD"":""21""},{""ptm"":""monohydroxylated residue"",""UNIMOD"":""35""},{""ptm"":""TMT6plex-126 reporter+balance reagent acylated residue""}]"	"[""LTQ Orbitrap Velos"",""Q Exactive""]"	"[""Biological""]"	"[""Shotgun proteomics""]"	"[""TMT""]"	human, kinase substrates; in vitro kinase assay; proteomics; mass spectrometry; heavy ATP; non receptor tyrosine kinase Abl1	Mascot (v2.3.02, MatrixScience, London, UK) and Sequest HT database search engines and Percolator validation software node (V2.04) to remove false positives with a false discovery rate (FDR) of 1% under strict conditions. In addition, the phosphoRS 3.0 node was used to validate peptide phosphorylation and assignment of normal ‘light’ phosphorylated sites. For ‘heavy’ phosphorylated sites or Sequest HT search results this computational tool is not available. Searches were performed with full tryptic digestion against the human SwissProt database v2014.03_20140331 (40,055 sequences including isoforms obtained from varsplic.pl and appended known contaminants) with up to two miscleavage sites. Oxidation (+15.9949 Da) of methionine and phosphorylation (+79.9963 Da) of serine, threonine and tyrosine were set as variable modifications, whilst carbamidomethylation (+57.0214 Da) of cysteine residues and TMT 6‐plex labelling of peptide N‐termini and lysine residues were set as fixed modifications.For data sets containing ‘heavy’ pY‐sites, a modification of 18O2‐phosphorylation (+83.9880 Da) was chosen as a variable modification on tyrosine residues in addition to normal phosphorylation. Further data processing was achieved with R Studio (v0.98.1091), GraphPad Prism (v6.01) and Windows Office Excel (v2013).	2015-05-01	"[[""PMID:27346722"",""DOI:10.1038/srep28107""]]"
859	PXD011173	https://www.ebi.ac.uk/pride/ws/archive/project/PXD011173	Human FZD6 phosphorylation LC-MS/MS	Frizzleds (FZD) function as receptors for secreted lipoglycoproteins of the Wingless/Int-1 (WNT) family, initiating an important signal transduction network in multicellular organisms. FZDs are classified as G protein-coupled receptors (GPCRs), which control a wide variety of physiological functions. GPCRs are well known to be regulated by phosphorylation, which can lead to specification of downstream signaling or receptor desensitization. The role and underlying mechanisms of phosphorylation of FZDs remains largely unexplored. Here, we investigated the phosphorylation of human FZD6. In order to assess FZD6 phosphorylation experimentally, we employed mass spectrometry. HEK293 cells expressing FZD6-GFP were treated with either control, WNT-3A or WNT-5A containing conditioned medium for 30 min and processed for LC-MS/MS analysis. Six phosphorylated serine residues were detected in the C-terminus of FZD6 − S592, S620, S629, S648, S653 and S656.	"[""Homo sapiens (Human)""]"	"[""embryonic kidney cell line""]"	"[{""ptm"":""phosphorylated residue"",""UNIMOD"":""21""}]"	"[""LTQ Orbitrap Velos""]"	"[""Biological""]"	"[""Affinity purification coupled with mass spectrometry proteomics"",""Shotgun proteomics""]"		Frizzled, FZD6, phosphorylation, WNT, WNT-3A, WNT-5A, LC-MS/MS, titanuim dioxide, label-free	The data were analysed by Thermo Proteome Discoverer 1.4 and searched against human uniprot fasta database using sequest HT. The search parameter settings include, Trypsin as protease with two misscleavages; oxidation of  methionine, phophorylation of serine, threonine and tyrorine as dynamic modification; carbamidomethylation of cysteine as static modificaton. A peptide error tolerance of 10 ppm and fragment tolerance of 0.8Da was used for peptide identifications with a FDR of 1%. Peptides were validated by node percolator and the phosphopeptides by node PhosphoRs 3.0. The output results were later filtered to yield high confidence peptides and enabled protein grouping.	2018-09-24	"[[""DOI:10.1074/jbc.ra118.004656"",""PMID:30309985""]]"
