assay_id,project_id,filename,cell_id,cell_line,disease,treatment,tissue_type,sub_cell,organ_id,PXD_accession,all_PSM,sign_PSM,peptides,proteins,experiment_type,instrument,pmid,pool_id,ionbot_version
34091,1876,00524_B01_P003819_B0B_A00_R2,675,CCRF-CEM,leukemia,/,blood,/,,PXD005940,11770,2090,716,82,in-gel,LTQ Orbitrap Elite,23933261,69,IONBOT_v0.7.0
34092,1876,00524_B02_P003819_B0J_A00_R2,675,CCRF-CEM,leukemia,/,blood,/,,PXD005940,42850,7425,2312,309,in-gel,LTQ Orbitrap Elite,23933261,69,IONBOT_v0.7.0
34093,1876,00524_B03_P003819_B0R_A00_R1,675,CCRF-CEM,leukemia,/,blood,/,,PXD005940,34840,5526,1727,319,in-gel,LTQ Orbitrap Elite,23933261,69,IONBOT_v0.7.0
34096,1876,00524_C03_P003819_B0S_A00_R1,675,CCRF-CEM,leukemia,/,blood,/,,PXD005940,32097,5419,1727,337,in-gel,LTQ Orbitrap Elite,23933261,69,IONBOT_v0.7.0
34097,1876,00524_D01_P003819_B0D_A00_R2,675,CCRF-CEM,leukemia,/,blood,/,,PXD005940,43415,7294,2523,255,in-gel,LTQ Orbitrap Elite,23933261,69,IONBOT_v0.7.0
34098,1876,00524_D02_P003819_B0L_A00_R2,675,CCRF-CEM,leukemia,/,blood,/,,PXD005940,41428,7293,2335,343,in-gel,LTQ Orbitrap Elite,23933261,69,IONBOT_v0.7.0
34100,1876,00524_E01_P003819_B0E_A00_R2,675,CCRF-CEM,leukemia,/,blood,/,,PXD005940,41489,7177,2454,261,in-gel,LTQ Orbitrap Elite,23933261,69,IONBOT_v0.7.0
34101,1876,00524_E02_P003819_B0M_A00_R2,675,CCRF-CEM,leukemia,/,blood,/,,PXD005940,45231,7785,2029,342,in-gel,LTQ Orbitrap Elite,23933261,69,IONBOT_v0.7.0
34102,1876,00524_E03_P003819_B0U_A00_R1,675,CCRF-CEM,leukemia,/,blood,/,,PXD005940,23927,3869,917,261,in-gel,LTQ Orbitrap Elite,23933261,69,IONBOT_v0.7.0
34104,1876,00524_F02_P003819_B0N_A00_R2,675,CCRF-CEM,leukemia,/,blood,/,,PXD005940,41682,7237,1816,300,in-gel,LTQ Orbitrap Elite,23933261,69,IONBOT_v0.7.0
34105,1876,00524_F03_P003819_B0V_A00_R1,675,CCRF-CEM,leukemia,/,blood,/,,PXD005940,20451,3365,931,264,in-gel,LTQ Orbitrap Elite,23933261,69,IONBOT_v0.7.0
34106,1876,00524_G01_P003819_B0G_A00_R2,675,CCRF-CEM,leukemia,/,blood,/,,PXD005940,36186,6055,1758,246,in-gel,LTQ Orbitrap Elite,23933261,69,IONBOT_v0.7.0
34108,1876,00524_G03_P003819_B0W_A00_R1,675,CCRF-CEM,leukemia,/,blood,/,,PXD005940,14456,2520,865,238,in-gel,LTQ Orbitrap Elite,23933261,69,IONBOT_v0.7.0
34109,1876,00524_H01_P003819_B0H_A00_R2,675,CCRF-CEM,leukemia,/,blood,/,,PXD005940,36874,6029,2227,253,in-gel,LTQ Orbitrap Elite,23933261,69,IONBOT_v0.7.0
34110,1876,00524_H02_P003819_B0P_A00_R1,675,CCRF-CEM,leukemia,/,blood,/,,PXD005940,35132,5932,1486,312,in-gel,LTQ Orbitrap Elite,23933261,69,IONBOT_v0.7.0
33905,1876,00522_A10_P003814_B0A_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,1053,172,82,11,in-gel,LTQ Orbitrap Elite,23933261,64,IONBOT_v0.7.0
33906,1876,00522_A11_P003814_B0I_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,32123,5193,1915,240,in-gel,LTQ Orbitrap Elite,23933261,64,IONBOT_v0.7.0
33907,1876,00522_A12_P003814_B0Q_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,36925,6022,1487,346,in-gel,LTQ Orbitrap Elite,23933261,64,IONBOT_v0.7.0
33917,1876,00522_B10_P003814_B0B_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,13727,2452,1040,72,in-gel,LTQ Orbitrap Elite,23933261,64,IONBOT_v0.7.0
33918,1876,00522_B11_P003814_B0J_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,42799,7308,2400,359,in-gel,LTQ Orbitrap Elite,23933261,64,IONBOT_v0.7.0
33919,1876,00522_B12_P003814_B0R_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,36744,6117,1827,354,in-gel,LTQ Orbitrap Elite,23933261,64,IONBOT_v0.7.0
33929,1876,00522_C10_P003814_B0C_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,34068,5667,2082,171,in-gel,LTQ Orbitrap Elite,23933261,64,IONBOT_v0.7.0
33930,1876,00522_C11_P003814_B0K_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,36797,6271,1587,266,in-gel,LTQ Orbitrap Elite,23933261,64,IONBOT_v0.7.0
33931,1876,00522_C12_P003814_B0S_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,35589,5850,1961,383,in-gel,LTQ Orbitrap Elite,23933261,64,IONBOT_v0.7.0
33941,1876,00522_D10_P003814_B0D_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,37477,6292,2311,247,in-gel,LTQ Orbitrap Elite,23933261,64,IONBOT_v0.7.0
33942,1876,00522_D11_P003814_B0L_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,41491,6897,2201,350,in-gel,LTQ Orbitrap Elite,23933261,64,IONBOT_v0.7.0
33943,1876,00522_D12_P003814_B0T_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,30089,5026,1510,345,in-gel,LTQ Orbitrap Elite,23933261,64,IONBOT_v0.7.0
33953,1876,00522_E10_P003814_B0E_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,38612,6298,2182,234,in-gel,LTQ Orbitrap Elite,23933261,64,IONBOT_v0.7.0
33954,1876,00522_E11_P003814_B0M_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,39860,6781,1761,319,in-gel,LTQ Orbitrap Elite,23933261,64,IONBOT_v0.7.0
33955,1876,00522_E12_P003814_B0U_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,26416,4521,1211,331,in-gel,LTQ Orbitrap Elite,23933261,64,IONBOT_v0.7.0
33965,1876,00522_F10_P003814_B0F_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,38466,6574,2475,299,in-gel,LTQ Orbitrap Elite,23933261,64,IONBOT_v0.7.0
33966,1876,00522_F11_P003814_B0N_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,41182,6954,1997,346,in-gel,LTQ Orbitrap Elite,23933261,64,IONBOT_v0.7.0
33967,1876,00522_F12_P003814_B0V_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,20113,3235,835,245,in-gel,LTQ Orbitrap Elite,23933261,64,IONBOT_v0.7.0
33977,1876,00522_G10_P003814_B0G_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,41745,7143,2407,311,in-gel,LTQ Orbitrap Elite,23933261,64,IONBOT_v0.7.0
33978,1876,00522_G11_P003814_B0O_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,40920,6552,1999,316,in-gel,LTQ Orbitrap Elite,23933261,64,IONBOT_v0.7.0
33979,1876,00522_G12_P003814_B0W_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,16201,2833,835,252,in-gel,LTQ Orbitrap Elite,23933261,64,IONBOT_v0.7.0
34079,1876,00523_H04_P003816_B0H_A00_R1,693,KM12,carcinoma,/,colon,/,,PXD005940,39503,6754,2026,303,in-gel,LTQ Orbitrap Elite,23933261,70,IONBOT_v0.7.0
34080,1876,00523_H05_P003816_B0P_A00_R1,693,KM12,carcinoma,/,colon,/,,PXD005940,48602,8243,2058,425,in-gel,LTQ Orbitrap Elite,23933261,70,IONBOT_v0.7.0
34084,1876,00523_H09_P003817_B0X_A00_R1,693,KM12,carcinoma,/,colon,/,,PXD005940,24493,4035,1569,335,in-gel,LTQ Orbitrap Elite,23933261,70,IONBOT_v0.7.0
34085,1876,00523_H10_P003818_B0H_A00_R1,693,KM12,carcinoma,/,colon,/,,PXD005940,53182,8802,2801,324,in-gel,LTQ Orbitrap Elite,23933261,70,IONBOT_v0.7.0
34089,1876,00524_A02_P003819_B0I_A00_R2,693,KM12,carcinoma,/,colon,/,,PXD005940,39696,6515,2494,252,in-gel,LTQ Orbitrap Elite,23933261,70,IONBOT_v0.7.0
34090,1876,00524_A03_P003819_B0Q_A00_R1,693,KM12,carcinoma,/,colon,/,,PXD005940,35630,5679,1516,332,in-gel,LTQ Orbitrap Elite,23933261,70,IONBOT_v0.7.0
34094,1876,00524_C01_P003819_B0C_A00_R2,693,KM12,carcinoma,/,colon,/,,PXD005940,33731,5664,1856,157,in-gel,LTQ Orbitrap Elite,23933261,70,IONBOT_v0.7.0
34095,1876,00524_C02_P003819_B0K_A00_R2,693,KM12,carcinoma,/,colon,/,,PXD005940,39335,6564,2215,277,in-gel,LTQ Orbitrap Elite,23933261,70,IONBOT_v0.7.0
34099,1876,00524_D03_P003819_B0T_A00_R1,693,KM12,carcinoma,/,colon,/,,PXD005940,30812,5137,1364,313,in-gel,LTQ Orbitrap Elite,23933261,70,IONBOT_v0.7.0
34103,1876,00524_F01_P003819_B0F_A00_R2,693,KM12,carcinoma,/,colon,/,,PXD005940,36967,6208,2049,265,in-gel,LTQ Orbitrap Elite,23933261,70,IONBOT_v0.7.0
34107,1876,00524_G02_P003819_B0O_A00_R2,693,KM12,carcinoma,/,colon,/,,PXD005940,41667,7220,2078,297,in-gel,LTQ Orbitrap Elite,23933261,70,IONBOT_v0.7.0
34111,1876,00524_H03_P003819_B0X_A00_R1,693,KM12,carcinoma,/,colon,/,,PXD005940,10360,1711,631,174,in-gel,LTQ Orbitrap Elite,23933261,70,IONBOT_v0.7.0
35188,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_1,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,46103,6301,2024,742,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35189,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_10,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,49926,7910,3016,1055,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35190,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_11,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,47521,7882,2953,973,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35191,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_12,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,57598,9454,3430,1162,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35192,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_13,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,55940,8817,3113,1147,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35193,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_14,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,58900,9682,3508,1264,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35194,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_15,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,55225,8974,3413,1210,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35195,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_16,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,64174,10977,3833,1317,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35196,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_17,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,68293,11620,4330,1448,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35197,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_18,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,70807,11857,4501,1380,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35198,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_19,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,68799,12014,4408,1453,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35199,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_2,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,17477,2581,912,475,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35200,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_20,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,70427,12276,4222,1520,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35201,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_21,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,72058,12377,4182,1449,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35202,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_22,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,70922,12604,4219,1401,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35203,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_23,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,76310,13000,4583,1519,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35204,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_24,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,74294,13115,4415,1528,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35205,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_25,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,75464,13154,4357,1480,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35206,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_26,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,71320,12700,4237,1529,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35207,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_27,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,70517,12631,4184,1473,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35208,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_28,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,70783,12931,4323,1433,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35209,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_29,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,69667,12392,4277,1514,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35210,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_3,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,5115,601,200,144,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35211,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_30,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,77234,14118,4861,1546,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35212,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_31,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,73642,13223,4473,1554,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35213,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_32,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,9277,1860,588,278,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35214,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_33,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,74641,13573,4692,1585,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35215,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_34,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,74163,13698,4574,1608,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35216,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_35,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,70720,12946,4300,1572,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35217,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_36,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,72324,13443,4865,1595,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35218,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_37,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,70071,13307,4474,1553,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35219,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_38,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,72591,13282,4478,1504,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35220,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_39,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,71112,13148,4504,1472,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35221,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_4,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,43956,6667,2261,485,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35222,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_40,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,69390,13065,4577,1509,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35223,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_41,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,72903,13377,4603,1416,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35224,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_42,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,84742,15669,5238,1750,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35225,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_43,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,63574,11755,3754,1280,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35226,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_44,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,62322,11911,4006,1334,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35227,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_45,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,74058,14651,4987,1665,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35228,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_46,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,82531,15462,5216,1766,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35229,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_5,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,50333,7581,2757,919,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35230,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_6,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,50664,7629,2806,977,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35231,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_7,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,7801,1303,448,265,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35232,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_8,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,43261,6705,2156,890,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35233,1871,20151028_QE3_UPLC8_DBJ_SA_MCF7_Rep1_46frac_9,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,30096,4591,1605,833,in-solution,Q-exactive,28601559,15,IONBOT_v0.7.0
35234,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_1,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,8371,1191,371,177,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35235,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_10,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,45446,7890,3038,1174,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35236,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_11,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,39834,6817,2563,904,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35237,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_12,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,48155,8484,3123,1128,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35238,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_13,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,47205,8379,3131,1168,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35239,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_14,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,51703,8776,3265,1221,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35240,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_15,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,46370,7890,3022,1089,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35241,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_16,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,56055,9956,3486,1278,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35242,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_17,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,59085,10361,4045,1364,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35243,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_18,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,59286,10974,4241,1433,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35244,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_19,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,59450,10913,4065,1430,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35245,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_2,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,13245,2053,708,360,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35246,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_20,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,60881,11382,3936,1453,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35247,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_21,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,63571,11899,4077,1442,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35248,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_22,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,64344,12314,4281,1442,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35249,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_23,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,64666,11757,4182,1495,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35250,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_24,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,66694,12520,4347,1518,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35251,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_25,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,67418,12389,4157,1418,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35252,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_26,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,61968,11612,3975,1473,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35253,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_27,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,61763,11523,3906,1460,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35254,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_28,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,64211,12326,4277,1496,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35255,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_29,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,62031,11559,4099,1516,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35256,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_3,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,7048,933,312,170,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35257,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_30,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,69095,13236,4520,1528,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35258,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_31,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,65005,12095,4120,1465,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35259,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_32,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,63312,12043,3916,1472,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35260,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_33,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,70455,13204,4449,1610,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35261,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_34,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,68444,13165,4396,1614,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35262,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_35,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,76256,13996,4659,1736,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
35263,1871,20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_36,551,MCF7,adenocarcinoma,/,breast,/,,PXD004452,68848,13178,4706,1596,in-solution,Q-exactive,28601559,16,IONBOT_v0.7.0
