accession	title	projectDescription	publicationDate	submissionType	numAssays	species	tissues	ptmNames	instrumentNames	projectTags
PXD008832	Evaluation of preservation quality and viability of FFPE ovarian cancer tissue samples	Analysis of 60 FFPE (formalin-fixed, paraffin-embedded) ovarian 	2018-10-19	COMPLETE	180	['Homo sapiens (Human)']	['ovary']	['Carbamidomethyl', 'Phospho', 'Oxidation', 'TMT6plex']	['Q Exactive']	['CPTAC Consortium', 'Biomedical']
PXD003408	Contribution of primary human fibroblasts and endothelial cells to the hallmarks of inflammation as determined by proteome profiling - nuclear proteins of untreated endothelial cells	While the most important players of inflammation have been well 	2016-04-04	COMPLETE	26	['Homo sapiens (Human)']	['umbilical vein']	['Carbamidomethyl', 'L-histidine residue', 'Acetyl', 'Oxidation', 'residues isobaric at 128.058578 Da', 'L-tyrosine residue']	['Q Exactive']	['Biological', 'Biomedical']
PXD001324	Proteome profiling of breast cancer biopsies reveals a wound healing signature of cancer-associated fibroblasts - tumor-near tissue sections	Breast cancer is still the most common type of cancer in women; 	2014-09-23	COMPLETE	6	['Homo sapiens (Human)']	['breast']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD008723	Proteomic alterations in early stage cervical cancer	Cervical cancer is characterized by a well-defined pre-malignant	2018-05-02	COMPLETE	36	['Homo sapiens (Human)']	['uterine cervix']	['Oxidation']	['Orbitrap Fusion']	['Biological', 'Biomedical']
PXD011183	Urinary proteomics by 2DE and LC-MS/MS	Despite research progresses, the chance to accurately predict th	2018-11-04	COMPLETE	51	['Homo sapiens (Human)']	['urine']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['LTQ Orbitrap', 'Q Exactive']	['Biomedical']
PXD007137	Ceritinib Functional Proteomics	To elucidate the mechanism of action (MoA) of ceritinib’s antipr	2018-01-12	COMPLETE	80	['Homo sapiens (Human)']	['lung']	['Carbamidomethyl', 'Label:13C(6)', 'Phospho', 'Label:13C(6)15N(4)', 'Oxidation']	['LTQ Orbitrap', 'Q Exactive']	['Biomedical']
PXD008996	Impact of biomechanical stimulation in the toxicity of deoxynivalenol in A431 cells: impairment of “dynamic” cell functions	Morphology together with the capability to respond to surroundin	2018-07-31	COMPLETE	24	['Homo sapiens (Human)']	['skin']	['Carbamidomethyl', 'Acetyl', 'Oxidation', 'residues isobaric at 128.058578 Da']	['Q Exactive']	['Biological', 'Biomedical']
PXD006095	Comparison of Targeted MS Methods in Activity-Based Protein Profiling 1: DDA	To examine the different mass spectrometry approaches to monitor	2017-11-27	COMPLETE	18	['Homo sapiens (Human)']	['lung']	['No PTMs are included in the dataset']	['Q Exactive']	['Technical']
PXD009350	Proteomics at large: Discovery and replication of plasma proteomic biomarkers in independent cohorts - Overweight and obese patients of the Weight Management Clinical program of The Ottawa Hospital	Holistic human proteome maps are expected to complement comprehe	2018-11-23	COMPLETE	318	['Homo sapiens (Human)']	['blood plasma']	['Carbamidomethyl', 'Dehydrated', 'Ammonia-loss', 'Acetyl', 'Oxidation', 'Deamidated', 'TMT6plex']	['LTQ Orbitrap Elite']	['Biological', 'Biomedical']
PXD007624	Human aqueous humor of Primary open angle glaucoma  LC-MS/MS	The main objective of this study was to adopt discovery based ap	2018-06-15	PARTIAL	0	['Homo sapiens (Human)']	['anterior chamber of the eye']	['deamidated residue']	['Q Exactive']	['Biological', 'Biomedical']
PXD006265	NHBE proteome response to a wild type infectious clone of H1N1 Influenza virus	Proteomic data from mouse lung; Treated with wild-type and mutan	2017-05-24	COMPLETE	24	['Homo sapiens (Human)']	['lung']	['Carbamidomethyl', 'Oxidation', 'iTRAQ4plex']	['LTQ Orbitrap Velos']	['Biomedical']
PXD003414	Contribution of primary human fibroblasts and endothelial cells to the hallmarks of inflammation as determined by proteome profiling - nuclear proteins of untreated fibroblasts	While the most important players of inflammation have been well 	2016-04-04	COMPLETE	12	['Homo sapiens (Human)']	['skin']	['Carbamidomethyl', 'Acetyl', 'Oxidation', 'residues isobaric at 128.058578 Da']	['Q Exactive']	['Biological', 'Biomedical']
PXD008029	An adaptive pipeline to maximize isobaric tagging data in large-scale MS-based proteomics	Isobaric tagging is a method of choice in Mass Spectrometry (MS)	2018-05-01	COMPLETE	4	['Homo sapiens (Human)']	['blood plasma', 'cerebrospinal fluid']	['Carbamidomethyl', 'Dehydrated', 'Ammonia-loss', 'Acetyl', 'Oxidation', 'Deamidated', 'TMT6plex']	['LTQ Orbitrap Elite']	['Technical']
PXD009737	Human testis off-line LC-MS/MS	In order to identify more MPs and get deeper proteomic data of t	2018-10-04	COMPLETE	3	['Homo sapiens (Human)']	['testis']	['Carbamidomethyl', 'Oxidation']	['Q Exactive HF-X']	['Chromosome-centric Human Proteome Project (C-HPP)', 'China Human Proteome Project (CNHPP)', 'Human Proteome Project', 'Biological']
PXD006776	Proteome Profiling Identifies Markers for Inflammation-Related Tumor-Fibroblast Interaction in Colorectal Cancer	Inflammation has been identified as an important factor in cance	2018-10-17	COMPLETE	24	['Homo sapiens (Human)']	['colon']	['Carbamidomethyl', 'Acetyl', 'L-arginine residue', 'Oxidation', 'residues isobaric at 128.058578 Da']	['Q Exactive']	['Biomedical']
PXD008205	Contractile work contributes to maturation of energy metabolism in hiPSC-derived cardiomyocytes	Energy metabolism is a key aspect of cardiomyocyte biology. Huma	2018-03-06	COMPLETE	9	['Homo sapiens (Human)']	['heart']	['Carbamidomethyl', 'Oxidation', 'Deamidated']	['LTQ Orbitrap']	['Biological', 'Biomedical']
PXD001985	CF sputum LC-MSMS	Lung disease is the main cause of morbidity and mortality in cys	2017-05-19	COMPLETE	16	['Homo sapiens (Human)']	['sputum']	['Oxidation', 'iTRAQ8plex', 'Deamidated']	['LTQ Orbitrap Velos']	['Biomedical']
PXD002211	Quantification of cytokines secreted by primary human cells using MRM: evaluation of analytical parameters – shotgun secretome data of inflammatory stimulated HUVECs	The determination of secreted proteins may provide highly valuab	2015-06-29	COMPLETE	6	['Homo sapiens (Human)']	['umbilical vein']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Technical', 'Biomedical']
PXD007745	Quantitative Proteomics Reveals Specialized Wiring of Signaling Pathways that Protects Human Regulatory T Cell Identity - 2 populations in vitro	Regulatory CD4+ T cells (Tregs) are functionally distinct from c	2018-05-18	PARTIAL	0	['Homo sapiens (Human)']	['blood']	['iodoacetamide derivatized residue', 'acetylated residue']	['Orbitrap Fusion ETD']	['Biological']
PXD006570	Aging-related proteome alterations in B cells may predispose for chronic lymphocytic leukemia - cytoplasmic proteins of elderly B cells	Chronic lymphocytic leukemia (CLL), the most common type of leuk	2017-12-05	COMPLETE	6	['Homo sapiens (Human)']	['blood']	['Carbamidomethyl', 'Acetyl', 'Oxidation', 'residues isobaric at 128.058578 Da']	['Q Exactive']	[]
PXD002990	Complementary Phosphoproteomic Approaches Link IL-23R Downstream Signaling with Metabolic Adaptation in Lymphocytes	Interleukin (IL)-23 mediated signal transduction represents a ma	2016-04-21	COMPLETE	6	['Homo sapiens (Human)']	['lymph node']	['Dimethyl', 'Dimethyl:2H(4)', 'Carbamidomethyl', 'Phospho', 'Oxidation']	['Q Exactive']	['Biological', 'Highlighted', 'Biomedical']
PXD006096	Comparison of Targeted MS Methods in Activity-Based Protein Profiling 2: DIA	To examine the different mass spectrometry approaches to monitor	2017-11-27	COMPLETE	18	['Homo sapiens (Human)']	['lung']	['No PTMs are included in the dataset']	['Q Exactive']	['Technical']
PXD001415	Comprehensive Assessment of Proteins Regulated by Dexamethasone Reveals Novel Effects in Primary Human Peripheral Blood Mononuclear Cells - nuclear proteins of untreated cells	Inflammation is a physiological process involved in many disease	2014-11-04	COMPLETE	7	['Homo sapiens (Human)']	['blood']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD006589	Aging-related proteome alterations in B cells may predispose for chronic lymphocytic leukemia - nuclear proteins of CLL cells	Chronic lymphocytic leukemia (CLL), the most common type of leuk	2017-12-06	COMPLETE	18	['Homo sapiens (Human)']	['blood']	['Carbamidomethyl', 'L-histidine residue', 'Acetyl', 'Oxidation', 'residues isobaric at 128.058578 Da']	['Q Exactive']	['Biological', 'Biomedical']
PXD010690	Characterization of cerebrospinal fluid via data-independent acquisition mass spectrometry	Cerebrospinal fluid (CSF) is in direct contact with the brain an	2018-09-17	COMPLETE	54	['Homo sapiens (Human)']	['brain']	['Carbamidomethyl', 'Oxidation']	['Q Exactive']	['Biological', 'Biomedical']
PXD003075	Human CSF peptidomics of gamma secretase inhibition	Fifteen human healthy volunteers, divided into three groups, rec	2016-03-14	COMPLETE	15	['Homo sapiens (Human)']	['cerebrospinal fluid']	['iodoacetamide derivatized residue', 'monohydroxylated residue', '6x(13)C labeled residue', 'TMT6plex-126 reporter+balance reagent acylated residue']	['Q Exactive']	['Biomedical']
PXD009021	Proteomic Analysis of Human Liver Reference Material	Recent advances in mass spectrometric (MS) instruments resulting	2018-04-23	COMPLETE	42	['Homo sapiens (Human)']	['liver']	['Acetyl', 'Oxidation', 'Gln->pyro-Glu', 'Deamidated']	['Orbitrap Fusion Lumos']	['Technical', 'Biological']
PXD010150	Nanowell-Mediated Two-Dimensional Liquid Chromatography Proteome Profiling of Mammalian Cells	Proteomic data from technical developments of a nanowell-mediate	2018-10-18	COMPLETE	58	['Homo sapiens (Human)']	['pancreas']	['Carbamidomethyl', 'Oxidation']	['Orbitrap Fusion Lumos']	['Technical']
PXD006571	Aging-related proteome alterations in B cells may predispose for chronic lymphocytic leukemia - nuclear proteins of elderly B cells	Chronic lymphocytic leukemia (CLL), the most common type of leuk	2017-12-05	COMPLETE	6	['Homo sapiens (Human)']	['blood']	['Carbamidomethyl', 'Acetyl', 'Oxidation', 'residues isobaric at 128.058578 Da']	['Q Exactive']	[]
PXD003406	Contribution of primary human fibroblasts and endothelial cells to the hallmarks of inflammation as determined by proteome profiling - cytoplasmic proteins of untreated endothelial cells	While the most important players of inflammation have been well 	2016-04-04	COMPLETE	26	['Homo sapiens (Human)']	['umbilical vein']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biological', 'Biomedical']
PXD001420	Comprehensive Assessment of Proteins Regulated by Dexamethasone Reveals Novel Effects in Primary Human Peripheral Blood Mononuclear Cells - secreted proteins of inflammatory stimulated cells	Inflammation is a physiological process involved in many disease	2014-11-04	COMPLETE	3	['Homo sapiens (Human)']	['blood']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD010708	Characterization of cerebrospinal fluid via data-independent acquisition mass spectrometry	Cerebrospinal fluid (CSF) is in direct contact with the brain an	2018-09-17	COMPLETE	15	['Homo sapiens (Human)']	['cerebrospinal fluid']	['Carbamidomethyl', 'Oxidation']	['Q Exactive']	['Biological', 'Biomedical']
PXD004355	Characterization of protein deamidation by shotgun proteomics	Characterization of glutamine (Gln) deamidation with the current	2018-07-04	PARTIAL	0	['Homo sapiens (Human)']	['brain']	['iodoacetamide derivatized residue', 'deamidated residue']	['LTQ Orbitrap Elite']	['Technical', 'Biological']
PXD005055	Molecular determinants of tumor response to hyperthermia	Proteomic data from ovarian cancer cells (A2780 and SKOV3); trea	2018-10-22	COMPLETE	24	['Homo sapiens (Human)']	['ovary']	['Carbamidomethyl', 'Oxidation', 'TMT6plex']	['Q Exactive']	['Biomedical']
PXD004540	Multiple sclerosis biomarker discovery in cerebrospinal fluid using glycopeptide enrichment, TMT labeling and LC-MS/MS	Multiple sclerosis biomarker discovery in pooled cerebrospinal f	2016-10-13	COMPLETE	1	['Homo sapiens (Human)']	['cerebrospinal fluid']	['Glu->pyro-Glu', 'Carbamidomethyl', 'Acetyl', 'Oxidation', 'Gln->pyro-Glu', 'Deamidated', 'TMT6plex']	['Q Exactive']	['Biomedical']
PXD007271	Co-immumnoprecipitation experiments to identify protein bindining partners of CSDE1	While the transcriptional network of human embryonic stem cells 	2018-05-15	PARTIAL	0	['Homo sapiens (Human)']	['embryo']	['No PTMs are included in the dataset']	['Q Exactive']	['Biological']
PXD007258	Human hepatic stellate cell-derived extracellular vesicles LC-MSMS	Activation and migration of hepatic stellate cells (HSCs) follow	2018-10-18	COMPLETE	2	['Homo sapiens (Human)']	['liver']	['Carbamidomethyl', 'Dehydrated', 'Ammonia-loss', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biological']
PXD003417	Contribution of primary human fibroblasts and endothelial cells to the hallmarks of inflammation as determined by proteome profiling - secreted proteins of inflammatory stimulated fibroblasts	While the most important players of inflammation have been well 	2016-04-04	COMPLETE	6	['Homo sapiens (Human)']	['skin']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biological', 'Biomedical']
PXD008465	Peptidomic analysis of pancreatic neurodendocrine tumours (Glucagonoma)	A peptidomic analysis of plasma from patients with well characte	2018-06-06	COMPLETE	2	['Homo sapiens (Human)']	['blood plasma']	['Amidated', 'Acetyl', 'Oxidation', 'Gln->pyro-Glu']	['Q Exactive']	['Biomedical']
PXD003407	Contribution of primary human fibroblasts and endothelial cells to the hallmarks of inflammation as determined by proteome profiling - cytoplasmic proteins of inflammatory stimulated endothelial cells	While the most important players of inflammation have been well 	2016-04-04	COMPLETE	26	['Homo sapiens (Human)']	['umbilical vein']	['Carbamidomethyl', 'Acetyl', 'Oxidation', 'residues isobaric at 128.058578 Da']	['Q Exactive']	['Biological', 'Biomedical']
PXD002883	Combined assessment of global proteome, phosphoproteome and N-terminal protein cleavage to characterize altered platelet functions in human Scott syndrome	The Scott syndrome is a rare bleeding disorder associated with a	2016-08-24	COMPLETE	1	['Homo sapiens (Human)']	['blood platelet']	['Glu->pyro-Glu', 'Carbamidomethyl', 'Ammonia-loss', 'Acetyl', 'Oxidation', 'Gln->pyro-Glu']	['Orbitrap Fusion']	['Biomedical']
PXD001419	Comprehensive Assessment of Proteins Regulated by Dexamethasone Reveals Novel Effects in Primary Human Peripheral Blood Mononuclear Cells - cytoplasmic proteins of inflammatory stimulated cells	Inflammation is a physiological process involved in many disease	2014-11-04	COMPLETE	6	['Homo sapiens (Human)']	['blood']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD009754	LC-MSMS of the lc4 MHC class I immunopeptidome	MHC I-associated peptides (MAPs) presented at the surface of nuc	2018-10-22	COMPLETE	1	['Homo sapiens (Human)']	['lung']	['Oxidation', 'Deamidated']	['Q Exactive']	['Biomedical']
PXD008795	Peptidomics of Human Hypothalamic neurons	The study of peptide secretion, and identifying its control requ	2018-08-22	COMPLETE	7	['Homo sapiens (Human)']	['cerebral cortex', 'arcuate nucleus', 'hypothalamic nucleus', 'paraventricular nucleus of hypothalamus']	['Carbamidomethyl', 'Amidated', 'Acetyl', 'Oxidation', 'Gln->pyro-Glu']	['Q Exactive']	['Biological', 'Biomedical']
PXD003416	Contribution of primary human fibroblasts and endothelial cells to the hallmarks of inflammation as determined by proteome profiling - secreted proteins of untreated fibroblasts	While the most important players of inflammation have been well 	2016-04-04	COMPLETE	6	['Homo sapiens (Human)']	['skin']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biological', 'Biomedical']
PXD006572	Aging-related proteome alterations in B cells may predispose for chronic lymphocytic leukemia - cytoplasmic proteins of young B cells	Chronic lymphocytic leukemia (CLL), the most common type of leuk	2018-01-05	COMPLETE	6	['Homo sapiens (Human)']	['blood']	['Carbamidomethyl', 'Acetyl', 'Oxidation', 'residues isobaric at 128.058578 Da']	['Q Exactive']	[]
PXD008934	Characterization of proteomic changes in human heart failure	The microtubule (MT) cytoskeleton can provide a mechanical resis	2018-06-06	PARTIAL	0	['Homo sapiens (Human)']	['heart']	['No PTMs are included in the dataset']	['Q Exactive']	['Biomedical']
PXD009755	LC-MSMS of the lc6 MHC class I immunopeptidome	MHC I-associated peptides (MAPs) presented at the surface of nuc	2018-10-22	COMPLETE	1	['Homo sapiens (Human)']	['lung']	['Oxidation', 'Deamidated']	['Q Exactive']	['Biomedical']
PXD006552	Diversity of Amyloid-beta Proteoforms in the Alzheimer's Disease Brain	Amyloid-beta (Aβ) plays a key role in the pathogenesis of Alzhei	2017-08-28	COMPLETE	1	['Homo sapiens (Human)']	['brain']	['Dimethyl', 'Ammonium', 'Carbamidomethyl', 'Acetyl', 'Deamidated', 'Ethyl', 'Pyridylethyl', 'Glycosyl', 'Cation:Na', 'Formyl', 'Glu->pyro-Glu', 'Methyl', 'Dehydrated', 'Amidated', 'Oxidation', 'Sulfo', 'Trioxidation', 'Carboxy']	['Orbitrap Fusion']	['Biomedical']
PXD009646	Deep Dive in the Proteome of Human Cerebrospinal Fluid: A Valuable Data Resource for Biomarker Discovery and Missing Protein Identification	Cerebrospinal fluid (CSF) is a body fluid of choice for biomarke	2018-08-29	COMPLETE	1	['Homo sapiens (Human)']	['cerebrospinal fluid']	['Carbamidomethyl', 'Dehydrated', 'Ammonia-loss', 'Acetyl', 'Oxidation', 'Deamidated', 'TMT6plex']	['LTQ Orbitrap Elite']	['Biological']
PXD010698	Characterization of cerebrospinal fluid via data-independent acquisition mass spectrometry	Cerebrospinal fluid (CSF) is in direct contact with the brain an	2018-09-17	COMPLETE	5	['Homo sapiens (Human)']	['cerebrospinal fluid']	['Carbamidomethyl', 'Oxidation', 'residues isobaric at 128.058578 Da']	['Q Exactive']	['Biological', 'Biomedical']
PXD010294	Proteomic landscape of cholangiocarcinomas reveals 3 different subgroups according to their localization and the underlying non-tumor liver	Cholangiocarcinomas (CC) define a heterogeneous entity based upo	2018-12-11	PARTIAL	0	['Homo sapiens (Human)']	['liver']	['phosphorylated residue', 'monohydroxylated residue', 'acetylated residue']	['Orbitrap Fusion ETD']	['Biological']
PXD008682	Survival and pleurodesis response markers in malignant pleural effusion – The PROMISE study	Background: Malignant pleural effusion (MPE) is a common conditi	2018-07-17	PARTIAL	0	['Homo sapiens (Human)']	['lung']	['monohydroxylated residue', 'S-carboxamidoethyl-L-cysteine']	['Q Exactive']	['Biomedical']
PXD009870	Proteomics of JHS samples identifies proteins associated with heart failure	RELEVANCE: Identifying early plasma protein biomarkers that pred	2018-08-30	PARTIAL	0	['Homo sapiens (Human)']	['blood plasma']	['iodoacetic acid derivatized residue', 'monohydroxylated residue', 'deamidated residue']	['Q Exactive']	['Biological', 'Biomedical']
PXD006863	TMT-FASP-LC-MS analysis of peritoneal dialysis effluent	Peritoneal dialysis (PD) is a modality of renal replacement ther	2012-12-13	COMPLETE	7	['Homo sapiens (Human)']	['peritoneal dialysis fluid']	['Carbamidomethyl', 'Oxidation', 'TMT6plex']	['LTQ Orbitrap Velos']	['Biomedical']
PXD009396	Quantitative analysis of the erythrocyte kinome	The erythrocytes, the most numerous cells of the human body (Sen	2018-09-18	PARTIAL	0	['Homo sapiens (Human)']	['blood']	['No PTMs are included in the dataset']	['Orbitrap Fusion']	['Biological']
PXD002437	Proteome Profiling in Lung Injury Following Hematopoietic Stem Cell Transplantation	The goal of this study was to apply protein expression profiling	2018-10-24	PARTIAL	0	['Homo sapiens (Human)']	['bronchoalveolar lavage']	['iTRAQ8plex-116 reporter+balance reagent acylated residue', 'L-cysteine methyl disulfide']	['LTQ Orbitrap Velos']	['Biomedical']
PXD007234	Menstrual fluid factors facilitate tissue repair: Identification and functional action in endometrial and skin repair	Repair after damage is essential for tissue homeostasis. Post-me	2018-07-30	PARTIAL	0	['Homo sapiens (Human)']	['blood plasma']	['iodoacetamide derivatized residue', 'monohydroxylated residue', 'acetylated residue']	['Q Exactive']	['Biological']
PXD009438	Defining the cellular proteolytic landscape in systemic lupus erythematosus – nonspecific digest	Mass spectrometry analysis of cellular targets of protein degrad	2018-10-11	PARTIAL	0	['Homo sapiens (Human)']	['blood serum']	['monohydroxylated residue', 'N-acetylated residue']	['Q Exactive']	['Biomedical']
PXD008870	Intestinal metaproteomics reveals host-microbiota interactions in subjects at risk for type 1 diabetes	Dysbiosis of the gut microbiota has been linked to disease patho	2018-11-07	PARTIAL	0	['Homo sapiens (Human)']	['feces']	['iodoacetamide derivatized residue', 'monohydroxylated residue', 'deamidated residue']	['Q Exactive']	['Metaproteomics']
PXD009112	Defining the cellular proteolytic landscape in systemic lupus erythematosus	Mass spectrometry analysis of cellular targets of protein degrad	2018-10-11	PARTIAL	0	['Homo sapiens (Human)']	['blood serum']	['iodoacetamide derivatized residue', 'monohydroxylated residue', 'N-acetylated residue']	['Q Exactive']	['Biomedical']
PXD007123	Human A549 CD38, part 2	SILAC-Labeled proteomic analysis of A549 CD38 human lung cancer 	2018-07-11	PARTIAL	0	['Homo sapiens (Human)']	['lung']	['6x(13)C labeled residue']	['Q Exactive']	['Biological', 'Biomedical']
PXD000529	CHPP chr 1,8,20 proteome dataset using the HCC cell lines of MHCC97H and HCCLM3, instrument is Q Exactive, part 1 of 3	The fresh cells as described above were harvested and lysed in b	2013-12-13	COMPLETE	96	['Homo sapiens (Human)']	['liver']	['iodoacetamide derivatized residue', 'monohydroxylated residue']	['Q-Exactive']	['Chromosome-centric Human Proteome Project (C-HPP)', 'Human Proteome Project', 'Biomedical']
PXD009196	Exercise-induced molecular mechanisms for glycogen supercompensation in human skeletal muscle	A single bout of exercise followed by intake of carbohydrates le	2018-08-30	PARTIAL	0	['Homo sapiens (Human)']	['skeletal muscle']	['iodoacetamide derivatized residue', 'monohydroxylated residue']	['Q Exactive HF']	['Biological']
PXD008467	Plasma proteomics reveals the confounding effect of heparin administration on the analysis of candidate cardiovascular biomarkers - Cohort1	Several plasma proteins have been suggested as markers for a var	2018-10-02	PARTIAL	0	['Homo sapiens (Human)']	['blood plasma']	['iodoacetamide derivatized residue', 'TMT6plex-126 reporter+balance reagent acylated residue', 'monohydroxylated residue', 'deamidated residue']	['Q Exactive']	['Biomedical']
PXD011309	Identification of potential plasma biomarkers for abdominal aortic aneurysm using tandem mass tag quantitative proteomics	Plasma biomarkers that identify abdominal aortic aneurysm (AAA) 	2018-10-22	PARTIAL	0	['Homo sapiens (Human)']	['blood plasma']	['TMT6plex-126 reporter+balance reagent acylated residue']	['Q Exactive']	[]
PXD008252	Nidogen-1 is a novel extracellular ligand for the NKp44 activating receptor	The release of soluble ligands of activating Natural Killer (NK)	2018-10-22	PARTIAL	0	['Homo sapiens (Human)']	['blood']	['No PTMs are included in the dataset']	['Orbitrap Fusion']	['Biological', 'Biomedical']
PXD002014	Integrated molecular phenotyping in chondrocytes identifies genes and pathways disrupted in osteoarthritis	Osteoarthritis (OA) is a degenerative joint disease with a subst	2018-10-24	PARTIAL	0	['Homo sapiens (Human)']	['knee', 'chondrocyte']	['iodoacetamide derivatized residue', 'monohydroxylated residue', 'deamidated residue']	['LTQ Orbitrap Velos', 'Orbitrap Fusion']	['Biomedical']
PXD000440	Qualitatively Different T Cell Phenotypic Responses to IL-2 versus IL-15 are Unified by Identical Dependences on Receptor Signal Strength and Duration	3 biological replicates of F15R-Kit cells stimulated with 500pM 	2013-11-07	COMPLETE	1	['Homo sapiens (Human)']	['blood']	['iTRAQ8plex-116 reporter+balance reagent acylated residue', 'L-cysteine glutathione disulfide', 'iodoacetamide derivatized residue', 'phosphorylated residue', 'monohydroxylated residue']	['Orbitrap Elite CID/HCD']	[]
PXD006581	Repurposing tofacitinib as an anti-myeloma therapeutic to reverse growth-promoting effects of the bone marrow microenvironment	The myeloma bone marrow microenvironment drives proliferation of	2018-10-24	PARTIAL	0	['Homo sapiens (Human)']	['blood']	['phosphorylated residue']	['Q Exactive Plus']	['Biomedical']
PXD009709	Ultrafiltration and size exclusion chromatography combined with asymmetrical-flow field-flow fractionation for the isolation and characterisation of extracellular vesicles from urine	Extracellular vesicles (EVs) have a great potential in clinical 	2018-07-04	PARTIAL	0	['Homo sapiens (Human)']	['urine']	['iodoacetamide derivatized residue', 'phosphorylated residue', 'monohydroxylated residue']	['Q Exactive']	['Technical', 'Biological']
PXD008443	Serum proteomics in early onset breast cancer	Shotgun serum proteomics study to identify novel markers of prog	2018-08-13	PARTIAL	0	['Homo sapiens (Human)']	['blood']	['phosphorylated residue', 'monohydroxylated residue', 'methylthiolated residue']	['LTQ Orbitrap']	['Biomedical']
PXD010284	A549 CD38 proteomic analysis, part 1	A549 CD38 proteomic analysis, three biological replicate, the fi	2018-09-24	PARTIAL	0	['Homo sapiens (Human)']	['lung']	['No PTMs are included in the dataset']	['Orbitrap Fusion Lumos']	['Biological']
PXD008601	Quantitative metaproteomics of medieval dental calculus reveals individual oral health status	The composition of the ancient oral microbiome has recently beco	2018-11-26	PARTIAL	0	['Homo sapiens (Human)']	['dental plaque']	['No PTMs are included in the dataset']	['Q Exactive']	['Metaproteomics']
PXD010260	Muscular invasiveness in bladder cancer	Patients with bladder cancer need frequent controls over long fo	2018-10-26	PARTIAL	0	['Homo sapiens (Human)']	['urinary bladder']	['iodoacetamide derivatized residue']	['Q Exactive HF']	[]
PXD007080	Proteomics analysis of podocytes with alpha-galactosidase knockdown	We subjected human podocytes with and without alpha-Galactosidas	2018-10-17	PARTIAL	0	['Homo sapiens (Human)']	['kidney']	['No PTMs are included in the dataset']	['Q Exactive']	['Biological', 'Biomedical']
PXD005323	iTRAQ-Based Quantitative Proteomic Analysis of Inhibitory Effects of Polysaccharides from Viscum coloratum (Kom.) Nakai on HepG2 Cells	Viscum coloratum (Kom.) Nakai is a variety of biological activit	2018-10-26	PARTIAL	0	['Homo sapiens (Human)']	['liver']	['No PTMs are included in the dataset']	['Q Exactive']	['Biological']
PXD009781	Sex Estimation Using Sexually Dimorphic Amelogenin Protein Fragments in Human Enamel	Sex estimation of human remains from demineralized blocks of too	2018-11-29	PARTIAL	0	['Homo sapiens (Human)']	['tooth enamel']	['iodoacetamide derivatized residue', 'dihydroxylated residue', 'monohydroxylated residue', 'deamidated residue']	['Q Exactive']	['Technical', 'Biological']
PXD011152	Multiplex PRM quantitation of CD8a, CD4, LAG3, PD1, PD-L1 and PD-L2	Immuno-LC-PRM assay was developed to simultaneously quantify the	2018-10-04	PARTIAL	0	['Homo sapiens (Human)']	['lymph node']	['No PTMs are included in the dataset']	['Q Exactive']	['Biomedical']
PXD009440	Human Salivary Prolactine Inducible Protein (PIP)	In the HPLC high-resolution ESI-MS profiles of both multiple scl	2018-08-10	PARTIAL	0	['Homo sapiens (Human)']	['saliva']	['disulfide crosslinked residues', 'deoxyhexosylated', 'N-acetylhexosaminylated', '2-pyrrolidone-5-carboxylic acid (Gln)']	['LTQ Orbitrap Elite']	['Biomedical']
PXD006911	myocardial tissue from atrial fibrillation patients	Electrical and structural remodeling processes are contributors 	2018-11-22	PARTIAL	0	['Homo sapiens (Human)']	['heart']	['iodoacetamide derivatized residue']	['Q Exactive']	['Biomedical']
PXD009254	Proteome profiles of primary pancreatic ductal adenocarcinomas undergoing adjuvant chemoradiation link ALDH1A1 to early local recurrence and chemoradiation resistance	Pancreatic ductal adenocarcinoma (PDAC) has a poor prognosis wit	2018-09-11	PARTIAL	0	['Homo sapiens (Human)']	['pancreas']	['iodoacetamide derivatized residue']	['Q Exactive']	['Biomedical']
PXD009056	Gut microbial functional maturation and succession during early life	The evolutional trajectory of gut microbial colonization from bi	2018-07-16	PARTIAL	0	['Homo sapiens (Human)']	['blood serum']	['iodoacetamide derivatized residue', 'monohydroxylated residue']	['Q Exactive']	['Biological']
PXD007122	Human A549 CD38, part 1	A SILAC labeled in-solution digestion of A549 CD38 cells.	2018-07-10	PARTIAL	0	['Homo sapiens (Human)']	['lung']	['6x(13)C labeled residue']	['Q Exactive']	['Biological', 'Biomedical']
PXD011241	Exosomes of p53 mutant H1299 cells	Proteome of exosomes purified from H1299-p53R273H (mutant) and H	2018-12-04	PARTIAL	0	['Homo sapiens (Human)']	['lung']	['No PTMs are included in the dataset']	['LTQ Orbitrap Elite']	['Biomedical']
