,h_uniprot,mouse_uniprot
1102,P20337,A2A7Z6
1103,P20338,P56371
1104,P20339,Q9CQD1
1105,P20340,P35279
1106,P20618,O09061
1107,P20648,E9QNX7
1108,P20700,P14733
1109,P20701,D3Z627
1110,P20742,P28665
1111,P20774,Q62000
1112,P20827,P52793
1113,P20849,G3X995
1114,P20908,O88207
1115,P20916,P20917
1116,P20930,A0A0A6YXI5
1117,P20933,Q64191
1118,P20941,Q9QW08
1119,P20963,P24161
1120,P21128,Q3V188
1121,P21266,P48774
1122,P21281,P62814
1123,P21283,Q9Z1G3
1124,P21333,Q8BTM8
1125,P21397,Q64133
1126,P21399,P28271
1127,P21439,P21440
1128,P21549,O35423
1129,P21589,Q61503
1130,P21695,P13707
1131,P21796,Q60932
1132,P21810,P28653
1133,P21817,A0A1L1SQG7
1134,P21912,Q9CQA3
1135,P21953,Q6P3A8
1136,P21964,O88587
1137,P21980,P21981
1138,P22033,P16332
1139,P22059,Q3B7Z2
1140,P22087,P35550
1141,P22102,Q64737
1142,P22303,P21836
1143,P22307,P32020
1144,P22309,Q63886
1145,P22314,Q02053
1146,P22413,A0A0R4J1Q7
1147,P22492,I7HFT9
1148,P22626,O88569
1149,P22670,P48377
1150,P22692,P47879
1151,P22694,P68181
1152,P22695,Q9DB77
1153,P22732,Q9WV38
1154,P22735,A0A0R4J293
1155,P22748,Q64444
1156,P22760,Q99PG0
1157,P22792,Q9DBB9
1158,P22891,Q9CQW3
1159,P22897,Q61830
1160,P22914,O35486
1161,P23109,Q3V1D3
1162,P23141,Q8VCT4
1163,P23142,Q08879
1164,P23229,A0A5F8MPB5
1165,P23246,Q8VIJ6
1166,P23258,P83887
1167,P23280,P18761
1168,P23284,P24369
1169,P23378,Q91W43
1170,P23381,P32921
1171,P23468,Q64487
1172,P23469,A0A1B0GRT6
1173,P23511,Q9DBV7
1174,P23515,G3XA53
1175,P23526,P50247
1176,P23610,Q9JJQ6
1177,P23634,Q6Q477
1178,P23921,P07742
1179,P23942,P15499
1180,P23946,A4QPC5
1181,P24043,Q60675
1182,P24158,A0A0R4IZY6
1183,P24298,Q8QZR5
1184,P24310,A0A140LIU4
1185,P24386,A2AD03
1186,P24534,O70251
1187,P24539,Q9CQQ7
1188,P24588,H3BIV5
1189,P24592,P47880
1190,P24593,Q07079
1191,P24666,Q9D358
1192,P24821,Q80YX1
1193,P24844,Q9CQ19
1194,P25098,Q99MK8
1195,P25205,P25206
1196,P25311,Q64726
1197,P25325,Q99J99
1198,P25391,P19137
1199,P25445,P25446
1200,P25685,Q9QYJ3
1201,P25686,Q9QYI5
1202,P25705,Q03265
1203,P25774,F6WR04
1204,P25788,O70435
1205,P25874,P12242
1206,P25940,Q9JLI2
1207,P26006,Q62470
1208,P26012,Q0VBD0
1209,P26022,P48759
1210,P26038,P26041
1211,P26196,P54823
1212,P26232,E0CXB9
1213,P26358,P13864
1214,P26368,P26369
1215,P26373,P47963
1216,P26439,P26149
1217,P26441,P51642
1218,P26447,P07091
1219,P26572,P27808
1220,P26583,P30681
1221,P26639,Q9D0R2
1222,P26641,Q9D8N0
1223,P26842,P41272
1224,P26992,O88507
1225,P27105,P54116
1226,P27144,Q9WUR9
1227,P27169,P52430
1228,P27216,Q99JG3
1229,P27348,P68254
1230,P27482,Q9D6P8
1231,P27487,P28843
1232,P27658,Q00780
1233,P27694,Q5SWN2
1234,P27695,P28352
1235,P27701,P40237
1236,P27797,P14211
1237,P27824,P35564
1238,P27986,P26450
1239,P27987,B2RXC2
1240,P28039,O35298
1241,P28066,Q9Z2U1
1242,P28070,P99026
1243,P28072,Q60692
1244,P28074,O55234
1245,P28289,P49813
1246,P28300,P28301
1247,P28329,Q8BQV2
1248,P28330,A0A0R4J083
1249,P28482,P63085
1250,P28838,Q9CPY7
1251,P28907,P56528
1252,P29084,Q9D902
1253,P29120,P63239
1254,P29218,Q924B0
1255,P29279,P29268
1256,P29317,Q03145
1257,P29350,P29351
1258,P29373,P22935
1259,P29400,Q63ZW6
1260,P29474,P70313
1261,P29508,G3X9V8
1262,P29536,F8VPR1
1263,P29590,Q60953
1264,P29762,P62965
1265,P29803,P35487
1266,P29966,P26645
1267,P29973,P29974
1268,P29992,P21278
1269,P30038,Q8CHT0
1270,P30039,K3W4L7
1271,P30040,P57759
1272,P30041,Q6GT24
1273,P30043,E9PZC3
1274,P30044,H3BJQ7
1275,P30048,P20108
1276,P30049,Q9D3D9
1277,P30084,Q8BH95
1278,P30086,E9QLE5
1279,P30101,P27773
1280,P30154,G3UWS4
1281,P30273,A0A0A6YVS1
1282,P30405,Q99KR7
1283,P30419,O70310
1284,P30520,P46664
1285,P30533,P55302
1286,P30613,G3X925
1287,P30740,Q9D154
1288,P30837,Q9CZS1
1289,P31146,O89053
1290,P31150,P50396
1291,P31153,Q3THS6
1292,P31323,P31324
1293,P31327,Q8C196
1294,P31415,O09165
1295,P31431,O35988
1296,P31513,P97501
1297,P31629,Q3UHF7
1298,P31689,P63037
1299,P31749,P31750
1300,P31930,Q9CZ13
1301,P31937,Q99L13
1302,P31939,Q9CWJ9
1303,P31942,D3Z3N4
1304,P31944,O89094
1305,P31946,Q9CQV8
1306,P31947,O70456
1307,P31948,Q60864
1308,P31949,P50543
1309,P32004,Q6PGJ3
1310,P32019,Q8K337
1311,P32119,Q61171
1312,P32320,P56389
1313,P32321,G3X908
1314,P32418,G3X9J1
1315,P32456,Q9Z0E6
1316,P32780,E9QKD9
1317,P32856,Q80W45
1318,P32929,Q8VCN5
1319,P32970,O55237
1320,P33151,P55284
1321,P33176,Q61768
1322,P33241,P19973
1323,P33402,F8VQK3
1324,P33897,P48410
1325,P33908,A0A1W2P788
1326,P33993,Q61881
1327,P34059,Q571E4
1328,P34096,Q8C7E4
1329,P34896,P50431
1330,P34897,Q9CZN7
1331,P34910,Q8VD58
1332,P34932,Q3U2G2
1333,P35219,P28651
1334,P35232,P67778
1335,P35240,P46662
1336,P35243,P34057
1337,P35250,Q9WUK4
1338,P35251,G3UWX1
1339,P35268,P67984
1340,P35270,Q91XH5
1341,P35354,Q05769
1342,P35414,Q9WV08
1343,P35475,Q8BMG0
1344,P35527,Q6RHW0
1345,P35555,Q61554
1346,P35556,Q61555
1347,P35558,Q9Z2V4
1348,P35568,Q543V3
1349,P35573,F8VPN4
1350,P35579,Q8VDD5
1351,P35580,Q3UH59
1352,P35590,Q06806
1353,P35606,O55029
1354,P35609,Q9JI91
1355,P35610,Q61263
1356,P35612,Q9QYB8
1357,P35613,P18572
1358,P35625,P39876
1359,P35749,A0A338P6K2
1360,P35754,Q9QUH0
1361,P35858,A0A0R4J0S2
1362,P35900,Q9D312
1363,P35908,Q3TTY5
1364,P35913,P23440
1365,P35914,P38060
1366,P35968,P35918
1367,P35998,Q8BVQ9
1368,P36021,O70324
1369,P36222,Q61362
1370,P36269,Q9Z2A9
1371,P36404,Q9D0J4
1372,P36405,Q9WUL7
1373,P36507,Q63932
1374,P36542,Q91VR2
1375,P36543,P50518
1376,P36551,P36552
1377,P36639,P53368
1378,P36871,A2CEK3
1379,P36952,P70124
1380,P36955,P97298
1381,P36957,Q9D2G2
1382,P36959,Q9DCZ1
1383,P37108,P16254
1384,P37837,A0A1B0GR11
1385,P38117,Q9DCW4
1386,P38432,E9Q284
1387,P38435,Q9QYC7
1388,P38606,P50516
1389,P38646,P38647
1390,P38919,Q91VC3
1391,P38935,A0A0B4J1E3
1392,P38936,P39689
1393,P39019,D3Z722
1394,P39060,E9QPX1
1395,P39748,Q91Z50
1396,P40197,Q9QZU3
1397,P40199,Q925P3
1398,P40222,Q6PAM1
1399,P40227,Q52KG9
1400,P40259,B1ARJ9
1401,P40261,O55239
1402,P40306,O35955
1403,P40763,P42227
1404,P40818,A2AI52
1405,P40879,Q9WVC8
1406,P40926,P08249
1407,P40937,Q9D0F6
1408,P40938,Q8R323
1409,P41091,Q9Z0N1
1410,P41208,Q9R1K9
1411,P41214,Q61211
1412,P41218,Q8CGE8
1413,P41219,G3X981
1414,P41222,O09114
1415,P41223,Q6PGH1
1416,P41226,Q9DBK7
1417,P41227,Q9QY36
1418,P41229,P41230
1419,P41240,P41241
1420,P41250,Q9CZD3
1421,P41743,Q62074
1422,P42025,Q8R5C5
1423,P42126,P42125
1424,P42261,P23818
1425,P42285,Q9CZU3
1426,P42345,Q9JLN9
1427,P42356,A0A140T8I9
1428,P42566,H3BK65
1429,P42574,P70677
1430,P42575,P29594
1431,P42677,Q6ZWU9
1432,P42684,F8VQH0
1433,P42685,Q922K9
1434,P42704,Q6PB66
1435,P42765,Q8BWT1
1436,P42766,Q6ZWV7
1437,P42768,P70315
1438,P42773,Q60772
1439,P42785,Q7TMR0
1440,P42858,G3X9H5
1441,P43007,O35874
1442,P43034,P63005
1443,P43121,Q8R2Y2
1444,P43155,P47934
1445,P43235,P55097
1446,P43246,P43247
1447,P43251,A0A0R4J131
1448,P43304,A2AQR0
1449,P43320,P62696
1450,P43353,Q80VQ0
1451,P43403,P43404
1452,P43405,P48025
1453,P43490,Q99KQ4
1454,P43652,O89020
1455,P43686,P54775
1456,P43897,Q9CZR8
1457,P45381,Q8R3P0
1458,P45877,P30412
1459,P45880,Q60930
1460,P45954,E9Q5L3
1461,P45974,P56399
1462,P45983,G3X8U9
1463,P45985,P47809
1464,P46013,E9PVX6
1465,P46019,Q8BWJ3
1466,P46060,P46061
1467,P46063,Q9Z129
1468,P46087,E9QN31
1469,P46100,Q61687
1470,P46108,Q64010
1471,P46109,P47941
1472,P46199,Q91YJ5
1473,P46531,Q01705
1474,P46734,O09110
1475,P46779,P41105
1476,P46781,Q6ZWN5
1477,P46821,P14873
1478,P46926,O88958
1479,P46937,P46938
1480,P46939,E9Q6R7
1481,P46952,Q78JT3
1482,P46976,K3W4S6
1483,P46977,P46978
1484,P47224,Q91X96
1485,P47712,P47713
1486,P47755,P47754
1487,P47756,P47757
1488,P47900,P49650
1489,P47985,Q9CR68
1490,P47989,Q00519
1491,P48047,Q9DB20
1492,P48052,Q504N0
1493,P48061,H7BX38
1494,P48066,P31650
1495,P48147,Q9QUR6
1496,P48163,P06801
1497,P48357,P48356
1498,P48426,O70172
1499,P48454,A0A2I3BPC5
1500,P48507,O09172
1501,P48553,Q3TLI0
1502,P48595,G3UYR4
1503,P48634,Q7TSC1
1504,P48651,Q99LH2
1505,P48681,Q6P5H2
1506,P48723,Q8BM72
1507,P48735,P54071
1508,P48736,Q9JHG7
1509,P48740,P98064
1510,P48751,P16283
1511,P48960,E9QJS7
1512,P49006,P28667
1513,P49069,P49070
1514,P49137,P49138
1515,P49189,Q3U367
1516,P49207,Q9D1R9
1517,P49221,A0A0R4J071
1518,P49247,P47968
1519,P49257,Q9D0F3
1520,P49321,B1AU75
1521,P49356,D3YWJ4
1522,P49407,J3QNU6
1523,P49411,Q8BFR5
1524,P49418,A0A668KM31
1525,P49427,Q8CFI2
1526,P49441,P49442
1527,P49454,E9Q3P4
1528,P49458,P49962
1529,P49588,Q8BGQ7
1530,P49589,Q9ER72
1531,P49619,Q91WG7
1532,P49675,P51557
1533,P49716,Q00322
1534,P49720,Q9R1P1
1535,P49721,Q9R1P3
1536,P49736,P97310
1537,P49748,P50544
1538,P49754,Q5KU39
1539,P49755,Q9D1D4
1540,P49756,B2RY56
1541,P49770,Q99LD9
1542,P49773,P70349
1543,P49788,F6ZIS7
1544,P49789,E9PZ91
1545,P49790,E9Q3G8
1546,P49792,Q9ERU9
1547,P49795,B7ZCT1
1548,P49796,Q9DC04
1549,P49802,A0A0A6YW36
1550,P49863,O35205
1551,P49902,E9Q9M1
1552,P49903,Q8BH69
1553,P49915,Q3THK7
1554,P49916,K4DI59
1555,P49961,Q8CDV7
1556,P50135,Q91VF2
1557,P50150,P50153
1558,P50151,Q9CXP8
1559,P50238,A0A0G2JEK2
1560,P50281,P53690
1561,P50395,Q61598
1562,P50402,O08579
1563,P50416,P97742
1564,P50440,Q9D964
1565,P50443,Q62273
1566,P50452,O08800
1567,P50453,O08797
1568,P50461,P50462
1569,P50479,P70271
1570,P50552,P70460
1571,P50570,G3X9G4
1572,P50583,P56380
1573,P50747,A0A2I3BPG4
1574,P50749,Q8BMS9
1575,P50750,Q99J95
1576,P50990,P42932
1577,P50991,P80315
1578,P50995,P97384
1579,P51116,Q6P5B5
1580,P51148,Q8C266
1581,P51151,A2AFP5
1582,P51153,Q9DD03
1583,P51159,Q9ERI2
1584,P51160,Q91ZQ1
1585,P51161,P51162
1586,P51178,G5DDB7
1587,P51397,Q91XC8
1588,P51570,Q9R0N0
1589,P51571,Q9D8L3
1590,P51572,Q61335
1591,P51580,A0A0R4J018
1592,P51608,Q9Z2D6
1593,P51665,P26516
1594,P51674,P35802
1595,P51688,Q9EQ08
1596,P51692,P42232
1597,P51788,Q9R0A1
1598,P51797,A2A7F6
1599,P51798,F6SUM2
1600,P51805,P70208
1601,P51813,B1AUL6
1602,P51828,P51829
1603,P51841,Q5SDA5
1604,P51854,Q99MX0
1605,P51857,Q8VCX1
1606,P51858,P51859
1607,P51884,P51885
1608,P51888,Q9JK53
1609,P51911,Q08091
1610,P51970,Q9DCJ5
1611,P51991,Q8BG05
1612,P52179,Q62234
1613,P52198,Q9QYM5
1614,P52209,Q9DCD0
1615,P52292,P52293
1616,P52294,Q60960
1617,P52306,E9Q912
1618,P52333,A0A0R4J0R7
1619,P52564,P70236
1620,P52597,Q9Z2X1
1621,P52732,Q6P9P6
1622,P52735,Q60992
1623,P52756,Q91YE7
1624,P52758,P52760
1625,P52788,P97355
1626,P52789,O08528
1627,P52790,Q3TRM8
1628,P52799,P52800
1629,P52823,O55183
1630,P52907,Q9CR52
1631,P52943,Q9DCT8
1632,P53004,Q9CY64
1633,P53007,Q8JZU2
1634,P53355,Q80YE7
1635,P53367,G5E8V9
1636,P53370,Q3ULU4
1637,P53384,Q9R060
1638,P53396,Q3V117
1639,P53420,Q9QZR9
1640,P53582,Q8BP48
1641,P53597,Q9WUM5
1642,P53602,Q99JF5
1643,P53609,Q8BUY9
1644,P53618,Q9JIF7
1645,P53634,P97821
1646,P53673,Q9JJV0
1647,P53674,Q9WVJ5
1648,P53701,P53702
1649,P53708,A2ARA8
1650,P53985,P53986
1651,P53992,G3X972
1652,P53999,P11031
1653,P54136,Q9D0I9
1654,P54198,Q61666
1655,P54253,J3QPR1
1656,P54259,O35126
1657,P54289,O08532
1658,P54296,Q14BI5
1659,P54577,Q91WQ3
1660,P54578,Q9JMA1
1661,P54652,P17156
1662,P54687,Q8CBC8
1663,P54707,Q9Z1W8
1664,P54709,P97370
1665,P54727,P54728
1666,P54750,Q61481
1667,P54802,O88325
1668,P54840,Q8VCB3
1669,P54845,P54846
1670,P54868,P54869
1671,P54886,Q9Z110
1672,P54922,P54923
1673,P55001,Q99PM0
1674,P55010,P59325
1675,P55011,E9QM38
1676,P55058,P55065
1677,P55060,Q9ERK4
1678,P55064,Q9WTY4
1679,P55072,Q01853
1680,P55081,C0HKD8
1681,P55107,P97737
1682,P55145,Q3TMX5
1683,P55212,O08738
1684,P55259,A0A140LHP0
1685,P55265,Q99MU3
1686,P55268,Q61292
1687,P55289,Q5RJH3
1688,P55290,Q9WTR5
1689,P55291,P33146
1690,P55735,Q9D1M0
1691,P55795,P70333
1692,P55809,Q9D0K2
1693,P55884,Q8JZQ9
1694,P55957,P70444
1695,P56159,P97785
1696,P56181,Q3U422
1697,P56182,P56183
1698,P56192,E9QB02
1699,P56199,Q3V3R4
1700,P56202,P56203
1701,P56277,Q61908
1702,P56279,Q3UES7
1703,P56385,Q06185
1704,P56537,O55135
1705,P56545,P56546
1706,P56589,Q9QXY9
1707,P56715,P56716
1708,P56937,Q8C5N9
1709,P56962,Q9D0I4
1710,P57081,E9Q156
1711,P57088,Q9CR67
1712,P57735,Q9WTL2
1713,P57740,Q8BH74
1714,P57771,Q8BXT1
1715,P57772,Q9JHW4
1716,P58166,O08717
1717,P58304,Q6PDC1
1718,P58546,P62774
1719,P59044,Q91WS2
1720,P60059,G3UWH0
1721,P60174,P17751
1722,P60201,P60202
1723,P60468,E9PW43
1724,P60484,O08586
1725,P60602,P60603
1726,P60604,P60605
1727,P60842,P60843
1728,P60880,P60879
1729,P60903,P08207
1730,P60953,P60766
1731,P60981,Q9R0P5
1732,P61006,P55258
1733,P61009,C0HK79
1734,P61026,P61027
1735,P61081,P61082
1736,P61086,P61087
1737,P61106,Q91V41
1738,P61158,Q99JY9
1739,P61160,P61161
1740,P61163,P61164
1741,P61221,P61222
1742,P61225,P61226
1743,P61254,P61255
1744,P61266,P61264
1745,P61278,P60041
1746,P61457,P61458
1747,P61586,Q9QUI0
1748,P61626,P08905
1749,P61758,P61759
1750,P61769,P01887
1751,P61956,P61957
1752,P61962,P61963
1753,P61964,P61965
1754,P61970,P61971
1755,P61978,P61979
1756,P61981,P61982
1757,P62070,P62071
1758,P62072,P62073
1759,P62081,P62082
1760,P62136,P62137
1761,P62140,P62141
1762,P62166,Q8BNY6
1763,P62191,P62192
1764,P62195,P62196
1765,P62244,P62245
1766,P62253,P62254
1767,P62258,P62259
1768,P62266,P62267
1769,P62269,F6YVP7
1770,P62277,P62301
1771,P62310,P62311
1772,P62312,P62313
1773,P62318,P62320
1774,P62330,P62331
1775,P62487,P62488
1776,P62633,P53996
1777,P62699,P62700
1778,P62701,P62702
1779,P62745,P62746
1780,P62750,P62751
1781,P62760,P62761
1782,P62805,P62806
1783,P62834,P62835
1784,P62851,P62852
1785,P62857,P62858
1786,P62875,P62876
1787,P62877,P62878
1788,P62906,Q5XJF6
1789,P62937,P17742
1790,P62993,Q60631
1791,P62995,P62996
1792,P63000,Q3TLP8
1793,P63151,Q6P1F6
1794,P63172,P51807
1795,P63173,Q9JJI8
1796,P63215,P63216
1797,P63313,Q6ZWY8
1798,P63316,P19123
1799,P68036,P68037
1800,P68366,A0A0A0MQA5
1801,P68402,Q61206
1802,P69905,Q91VB8
1803,P78310,Q1RME4
1804,P78318,Q61249
1805,P78324,P97797
1806,P78325,Q05910
1807,P78345,A2AJG0
1808,P78356,Q80XI4
1809,P78357,O54991
1810,P78362,A0A0R4J124
1811,P78363,O35600
1812,P78371,P80314
1813,P78406,Q8C570
1814,P78417,O09131
1815,P78524,Q924W7
1816,P78527,P97313
1817,P78536,E9PXU2
1818,P78539,Q9R0M3
1819,P78560,O88843
1820,P78563,Q91ZS8
1821,P80108,Q8VCU2
1822,P80217,Q9D8C4
1823,P80365,P51661
1824,P80723,Q91XV3
1825,P82663,Q9D125
1826,P82664,G5E8U5
1827,P82673,A0A0R4J0L6
1828,P82675,Q99N87
1829,P82909,Q9CQX8
1830,P82914,Q9DC71
1831,P82921,P58059
1832,P82932,P58064
1833,P82933,Q9D7N3
1834,P82987,G3UXC7
1835,P83111,Q9EP89
1836,P83436,A0A0R4J0Q9
1837,P83916,P83917
1838,P84074,P84075
1839,P84085,P84084
1840,P84090,G3UW85
1841,P84095,P84096
1842,P84103,P84104
1843,P85037,P42128
1844,P98066,O08859
1845,P98073,P97435
1846,P98082,A0A0R4J104
1847,P98088,E9QAQ8
1848,P98095,P37889
1849,P98155,P98156
1850,P98160,E9PZ16
1851,P98164,A2ARV4
1852,P98170,Q60989
1853,P98172,P52795
1854,P98175,Q99KG3
1855,P98179,Q8BG13
1856,Q00005,A0A668KLA9
1857,Q00013,P70290
1858,Q00059,P40630
1859,Q00266,Q91X83
1860,Q00403,P62915
1861,Q00534,Q64261
1862,Q00535,P49615
1863,Q00577,P42669
1864,Q00587,A0A0R4J0S1
1865,Q00653,Q9WTK5
1866,Q00688,Q62446
1867,Q00722,A3KGF7
1868,Q00765,G3X8R0
1869,Q00796,Q64442
1870,Q00839,Q8VEK3
1871,Q00G26,Q8BVZ1
1872,Q01082,Q62261
1873,Q01085,P70318
1874,Q01118,B1AYL1
1875,Q01432,A0A1L1SRX2
1876,Q01459,Q8R242
1877,Q01469,Q05816
1878,Q01518,P40124
1879,Q01523,D3Z0J0
1880,Q01524,D3Z1V9
1881,Q01543,P26323
1882,Q01546,Q3UV17
1883,Q01581,Q8JZK9
1884,Q01650,Q9Z127
1885,Q01658,Q91WV0
1886,Q01740,P50285
1887,Q01780,P56960
1888,Q01804,B2RRE7
1889,Q01813,Q9WUA3
1890,Q01826,E9PVB7
1891,Q01831,P51612
1892,Q01955,Q9QZS0
1893,Q01968,Q6NVF0
1894,Q01970,P51432
1895,Q02108,Q9ERL9
1896,Q02156,P16054
1897,Q02221,P43023
1898,Q02252,Q9EQ20
1899,Q02318,Q9DBG1
1900,Q02383,Q8BS30
1901,Q02410,B2RUJ5
1902,Q02539,P43275
1903,Q02747,P33680
1904,Q02750,P31938
1905,Q02790,P30416
1906,Q02809,Q9R0E2
1907,Q02818,Q02819
1908,Q02846,P52785
1909,Q02878,P47911
1910,Q02880,Q64511
1911,Q02952,Q9WTQ5
1912,Q03111,Q9ERL0
1913,Q03113,P27600
1914,Q03135,P49817
1915,Q03164,P55200
1916,Q03167,A0A0R4J097
1917,Q03169,D3Z4L9
1918,Q03188,P49452
1919,Q03252,A0A0R4J0Q5
1920,Q03395,P32958
1921,Q03403,Q9QX97
1922,Q03701,A0A0R4J046
1923,Q04446,Q9D6Y9
1924,Q04609,O35409
1925,Q04721,O35516
1926,Q04760,Q9CPU0
1927,Q04837,Q9CYR0
1928,Q04864,A4QPD3
1929,Q04917,P68510
1930,Q04941,Q9R1Q7
1931,Q05048,Q99LC2
1932,Q05209,P35831
1933,Q05469,E9Q4M2
1934,Q05655,P28867
1935,Q05682,E9QA15
1936,Q05823,Q05921
1937,Q05BV3,Q8BQM8
1938,Q05D32,Q8BG15
1939,Q06124,P35235
1940,Q06203,Q8CIH9
1941,Q06278,G3X8P9
1942,Q06323,P97371
1943,Q06481,Q60709
1944,Q06520,A0A1B0GRF0
1945,Q06546,Q00422
1946,Q06587,O35730
1947,Q06643,P41155
1948,Q07002,Q04899
1949,Q07021,Q8R5L1
1950,Q07065,Q8BMK4
1951,Q07075,P16406
1952,Q07092,Q8BLX7
1953,Q07283,A0A0B4J1F9
1954,Q07507,Q9QZZ6
1955,Q07617,Q80ZX8
1956,Q07666,Q60749
1957,Q07812,Q07813
1958,Q07954,A0A0R4J0I9
1959,Q07960,A2AH25
1960,Q08170,Q542V3
1961,Q08174,F7BJK1
1962,Q08209,P63328
1963,Q08211,E9QNN1
1964,Q08257,P47199
1965,Q08357,Q80UP8
1966,Q08378,E9QP99
1967,Q08379,A0A6I8MX07
1968,Q08380,Q07797
1969,Q08397,A0A0R4J0Q4
1970,Q08426,Q9DBM2
1971,Q08431,P21956
1972,Q08462,Q3V1Q3
1973,Q08495,Q9WV69
1974,Q08623,A0A0C3SFZ4
1975,Q08752,Q9CR16
1976,Q08828,O88444
1977,Q08830,A0A0R4J0E1
1978,Q08945,Q08943
1979,Q08AD1,H7BX08
1980,Q08AF3,Q8CBA2
1981,Q08AG7,Q8BUR9
1982,Q08AM6,Q80WQ2
1983,Q08J23,Q1HFZ0
1984,Q09028,Q60972
1985,Q09161,Q3UYV9
1986,Q09666,E9Q616
1987,Q0VAK6,E9QA62
1988,Q0VDF9,Q99M31
1989,Q0VDG4,Q3TMH2
1990,Q0VF96,B2RSU6
1991,Q0Z7S8,A0A0A6YXI2
1992,Q0ZGT2,A0A0G2JEX1
1993,Q10469,Q921V5
1994,Q10471,Q6PB93
1995,Q10472,O08912
1996,Q10567,O35643
1997,Q10570,A0A2R8VK76
1998,Q10589,Q8R2Q8
1999,Q10713,Q9DC61
2000,Q11201,P54751
2001,Q12765,Q9CZC8
2002,Q12768,Q8C2E7
2003,Q12778,Q9R1E0
2004,Q12789,Q8K284
2005,Q12792,Q91YR1
2006,Q12797,Q8BSY0
2007,Q12805,Q8BPB5
2008,Q12841,Q62356
2009,Q12846,P70452
2010,Q12860,P12960
2011,Q12864,Q9R100
2012,Q12872,Q3USH5
2013,Q12873,B1AR17
2014,Q12874,Q9D554
2015,Q12882,Q8CHR6
2016,Q12899,J3QN94
2017,Q12904,Q3UZG4
2018,Q12906,Q9Z1X4
2019,Q12907,Q9DBH5
2020,Q12918,Q0ZUP1
2021,Q12923,G5E8B1
2022,Q12931,Q9CQN1
2023,Q12933,P39429
2024,Q12934,A2AMT1
2025,Q12965,E9Q634
2026,Q12972,Q8R3G1
2027,Q12981,Q6QD59
2028,Q12986,B1AY10
2029,Q12988,Q9QZ57
2030,Q13009,G3UWG2
2031,Q13029,A2A7B5
2032,Q13033,Q9ERG2
2033,Q13045,Q9JJ28
2034,Q13049,Q8CH72
2035,Q13057,Q9DBL7
2036,Q13077,P39428
2037,Q13085,Q5SWU9
2038,Q13087,D3Z6P0
2039,Q13093,Q60963
2040,Q13099,G3X9Z7
2041,Q13111,Q9QWF0
2042,Q13112,Q9D0N7
2043,Q13123,Q9Z1M8
2044,Q13129,A2A7F4
2045,Q13131,Q5EG47
2046,Q13151,Q9CX86
2047,Q13155,Q8R010
2048,Q13158,Q61160
2049,Q13162,O08807
2050,Q13177,Q8CIN4
2051,Q13188,Q9JI10
2052,Q13200,Q8VDM4
2053,Q13201,G3UVV6
2054,Q13217,Q91YW3
2055,Q13219,Q8R4K8
2056,Q13228,P17563
2057,Q13232,Q9WV85
2058,Q13242,Q9D0B0
2059,Q13243,Q9D8S5
2060,Q13257,Q9Z1B5
2061,Q13263,Q62318
2062,Q13283,P97855
2063,Q13287,O35309
2064,Q13308,Q8BKG3
2065,Q13315,Q62388
2066,Q13326,P82348
2067,Q13332,B0V2N1
2068,Q13342,Q8C405
2069,Q13356,Q9D787
2070,Q13371,Q9DBX2
2071,Q13393,D6RH77
2072,Q13409,A2BFF9
2073,Q13416,Q60862
2074,Q13422,Q5SWT9
2075,Q13424,Q61234
2076,Q13425,B7ZNU9
2077,Q13426,A0A0R4J024
2078,Q13432,B1AQD9
2079,Q13438,Q8K2C7
2080,Q13442,Q3UHX2
2081,Q13444,O88839
2082,Q13445,Q3V009
2083,Q13451,Q64378
2084,Q13464,P70335
2085,Q13469,Q60591
2086,Q13474,B1AV35
2087,Q13492,Q7M6Y3
2088,Q13505,A0A6I8MWZ8
2089,Q13523,Q61136
2090,Q13530,Q9QZI9
2091,Q13541,Q60876
2092,Q13542,P70445
2093,Q13546,Q60855
2094,Q13547,O09106
2095,Q13554,Q5SVJ0
2096,Q13564,Q8VBW6
2097,Q13568,P56477
2098,Q13576,Q3UQ44
2099,Q13595,E9QP00
2100,Q13596,Q6NZD2
2101,Q13601,Q8BGA5
2102,Q13618,Q9JLV5
2103,Q13625,E9QJU8
2104,Q13630,A0A2R8VI39
2105,Q13636,Q3TXV4
2106,Q13641,Q9Z0L0
2107,Q13643,Q9R059
2108,Q13733,Q9WV27
2109,Q13740,Q61490
2110,Q13751,Q61087
2111,Q13753,G5E874
2112,Q13761,Q3U1Q3
2113,Q13769,A0A0R4J0J6
2114,Q13795,Q8BXL7
2115,Q13797,B8JK39
2116,Q13813,A3KGU9
2117,Q13823,Q99LH1
2118,Q13825,A0A0R4J023
2119,Q13835,P97350
2120,Q13875,Q9D2P8
2121,Q13884,Q99L88
2122,Q13895,O54825
2123,Q13907,G3XA48
2124,Q13948,H3BJQ9
2125,Q13976,P0C605
2126,Q14002,Q925P3
2127,Q14005,O54824
2128,Q14008,K3W4R5
2129,Q14011,P60824
2130,Q14012,Q91YS8
2131,Q14019,Q9CQI6
2132,Q14028,E1AZ71
2133,Q14032,Q91X34
2134,Q14055,I7HJR1
2135,Q14088,P97950
2136,Q14112,O88322
2137,Q14116,P70380
2138,Q14117,Q9EQF5
2139,Q14118,Q62165
2140,Q14134,Q8R2Q0
2141,Q14137,P97452
2142,Q14139,G3X9Y5
2143,Q14146,E9Q7L1
2144,Q14149,F7BJB9
