,assay_id,project_id,filename,cell_id,cell_line,disease,treatment,tissue_type,sub_cell,organ_id,PXD_accession,all_PSM,sign_PSM,peptides,proteins
526,34040,1876,00523_E01_P003815_B0E_A00_R1,659,U251,astrocytoma,/,brain,/,,PXD005940,46232,8041,3091,298
527,34041,1876,00523_E02_P003815_B0M_A00_R1,659,U251,astrocytoma,/,brain,/,,PXD005940,43099,7530,2039,358
528,34042,1876,00523_E03_P003815_B0U_A00_R1,659,U251,astrocytoma,/,brain,/,,PXD005940,31116,5312,1383,354
529,34052,1876,00523_F01_P003815_B0F_A00_R1,659,U251,astrocytoma,/,brain,/,,PXD005940,47756,8239,3038,330
530,34053,1876,00523_F02_P003815_B0N_A00_R1,659,U251,astrocytoma,/,brain,/,,PXD005940,41655,7484,2227,332
531,34054,1876,00523_F03_P003815_B0V_A00_R1,659,U251,astrocytoma,/,brain,/,,PXD005940,28423,4877,1303,348
532,34064,1876,00523_G01_P003815_B0G_A00_R1,659,U251,astrocytoma,/,brain,/,,PXD005940,43823,7479,2860,321
533,34065,1876,00523_G02_P003815_B0O_A00_R1,659,U251,astrocytoma,/,brain,/,,PXD005940,39973,7020,1976,331
534,34066,1876,00523_G03_P003815_B0W_A00_R1,659,U251,astrocytoma,/,brain,/,,PXD005940,23816,4088,1437,331
535,33899,1876,00522_A04_P003812_B0A_A00_R1,660,RXF-393,carcinoma,/,kidney,/,,PXD005940,4331,762,302,41
536,33900,1876,00522_A05_P003812_B0I_A00_R1,660,RXF-393,carcinoma,/,kidney,/,,PXD005940,64175,11183,3359,357
537,33901,1876,00522_A06_P003812_B0Q_A00_R1,660,RXF-393,carcinoma,/,kidney,/,,PXD005940,52113,9085,2307,386
538,33911,1876,00522_B04_P003812_B0B_A00_R1,660,RXF-393,carcinoma,/,kidney,/,,PXD005940,15931,2834,1718,43
539,33912,1876,00522_B05_P003812_B0J_A00_R1,660,RXF-393,carcinoma,/,kidney,/,,PXD005940,60655,10428,3692,374
540,33913,1876,00522_B06_P003812_B0R_A00_R1,660,RXF-393,carcinoma,/,kidney,/,,PXD005940,54366,9338,2435,416
541,33923,1876,00522_C04_P003812_B0C_A00_R1,660,RXF-393,carcinoma,/,kidney,/,,PXD005940,42131,7454,3781,115
542,33924,1876,00522_C05_P003812_B0K_A00_R1,660,RXF-393,carcinoma,/,kidney,/,,PXD005940,63947,11144,3385,369
543,33925,1876,00522_C06_P003812_B0S_A00_R1,660,RXF-393,carcinoma,/,kidney,/,,PXD005940,49546,8205,2672,413
544,33935,1876,00522_D04_P003812_B0D_A00_R1,660,RXF-393,carcinoma,/,kidney,/,,PXD005940,55413,9783,3881,183
545,33936,1876,00522_D05_P003812_B0L_A00_R1,660,RXF-393,carcinoma,/,kidney,/,,PXD005940,59358,10223,3174,358
546,33937,1876,00522_D06_P003812_B0T_A00_R1,660,RXF-393,carcinoma,/,kidney,/,,PXD005940,48151,8145,2658,423
547,33947,1876,00522_E04_P003812_B0E_A00_R1,660,RXF-393,carcinoma,/,kidney,/,,PXD005940,59531,10352,4316,271
548,33948,1876,00522_E05_P003812_B0M_A00_R1,660,RXF-393,carcinoma,/,kidney,/,,PXD005940,58939,10345,3127,429
549,33949,1876,00522_E06_P003812_B0U_A00_R1,660,RXF-393,carcinoma,/,kidney,/,,PXD005940,48299,8068,1983,365
550,33959,1876,00522_F04_P003812_B0F_A00_R1,660,RXF-393,carcinoma,/,kidney,/,,PXD005940,60435,10725,3975,343
551,33960,1876,00522_F05_P003812_B0N_A00_R1,660,RXF-393,carcinoma,/,kidney,/,,PXD005940,59849,10190,3142,364
552,33961,1876,00522_F06_P003812_B0V_A00_R1,660,RXF-393,carcinoma,/,kidney,/,,PXD005940,41087,6878,1757,369
553,33971,1876,00522_G04_P003812_B0G_A00_R1,660,RXF-393,carcinoma,/,kidney,/,,PXD005940,58624,10355,3740,340
554,33972,1876,00522_G05_P003812_B0O_A00_R1,660,RXF-393,carcinoma,/,kidney,/,,PXD005940,55150,9660,2576,381
555,33973,1876,00522_G06_P003812_B0W_A00_R1,660,RXF-393,carcinoma,/,kidney,/,,PXD005940,31472,5125,1550,369
556,33986,1876,00522_H07_P003813_B0H_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,42824,7332,2416,284
557,33987,1876,00522_H08_P003813_B0P_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,41389,6987,1884,374
558,33988,1876,00522_H09_P003813_B0X_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,18364,3129,1344,287
559,33998,1876,00523_A07_P003817_B0A_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,3654,625,148,49
560,33999,1876,00523_A07_P003817_B0I_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,54199,8970,3266,349
561,34000,1876,00523_A09_P003817_B0Q_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,48995,8256,2077,413
562,34010,1876,00523_B07_P003817_B0B_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,11560,2002,729,57
563,34011,1876,00523_B08_P003817_B0J_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,55899,9630,3172,374
564,34012,1876,00523_B09_P003817_B0R_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,50009,8230,2333,393
565,34022,1876,00523_C07_P003817_B0C_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,40658,6753,2650,167
566,34023,1876,00523_C08_P003817_B0K_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,51200,8829,2444,365
567,34024,1876,00523_C09_P003817_B0S_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,45295,7667,2443,440
568,34034,1876,00523_D07_P003817_B0D_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,49364,8275,3244,249
569,34035,1876,00523_D08_P003817_B0L_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,56485,9545,3126,465
570,34036,1876,00523_D09_P003817_B0T_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,43998,7325,1930,382
571,34046,1876,00523_E07_P003817_B0E_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,54587,9219,3358,350
572,34047,1876,00523_E08_P003817_B0M_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,56029,9784,2445,408
573,34048,1876,00523_E09_P003817_B0U_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,34516,5832,1460,341
574,34058,1876,00523_F07_P003817_B0F_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,53330,9141,3527,364
575,34059,1876,00523_F08_P003817_B0N_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,50692,8896,2291,405
576,34060,1876,00523_F09_P003817_B0V_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,31471,5007,1271,310
577,34070,1876,00523_G07_P003817_B0G_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,55921,9517,3099,345
578,34071,1876,00523_G08_P003817_B0O_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,51161,8828,2533,358
579,34072,1876,00523_G09_P003817_B0W_A00_R1,663,M14,melanoma,/,skin,/,,PXD005940,27935,4720,1522,322
580,34076,1876,00523_H01_P003815_B0H_A00_R1,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,44111,7581,2386,311
581,34077,1876,00523_H02_P003815_B0P_A00_R1,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,40149,6962,2118,379
582,34078,1876,00523_H03_P003815_B0X_A00_R1,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,19161,3353,1307,309
583,34081,1876,00523_H06_P003816_B0X_A00_R1,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,19795,3162,1354,269
584,34082,1876,00523_H07_P003817_B0H_A00_R1,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,49102,8228,2931,325
585,34083,1876,00523_H08_P003817_B0P_A00_R1,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,48744,8394,2309,394
586,34086,1876,00523_H11_P003818_B0P_A00_R1,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,52177,8754,2118,441
587,34087,1876,00523_H12_P003818_B0X_A00_R1,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,12709,2007,862,214
588,34088,1876,00524_A01_P003819_B0A_A00_R2,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,10373,1749,451,104
589,34091,1876,00524_B01_P003819_B0B_A00_R2,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,11770,2090,716,82
590,34092,1876,00524_B02_P003819_B0J_A00_R2,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,42850,7425,2312,309
591,34093,1876,00524_B03_P003819_B0R_A00_R1,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,34840,5526,1727,319
592,34096,1876,00524_C03_P003819_B0S_A00_R1,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,32097,5419,1727,337
593,34097,1876,00524_D01_P003819_B0D_A00_R2,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,43415,7294,2523,255
594,34098,1876,00524_D02_P003819_B0L_A00_R2,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,41428,7293,2335,343
595,34100,1876,00524_E01_P003819_B0E_A00_R2,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,41489,7177,2454,261
596,34101,1876,00524_E02_P003819_B0M_A00_R2,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,45231,7785,2029,342
597,34102,1876,00524_E03_P003819_B0U_A00_R1,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,23927,3869,917,261
598,34104,1876,00524_F02_P003819_B0N_A00_R2,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,41682,7237,1816,300
599,34105,1876,00524_F03_P003819_B0V_A00_R1,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,20451,3365,931,264
600,34106,1876,00524_G01_P003819_B0G_A00_R2,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,36186,6055,1758,246
601,34108,1876,00524_G03_P003819_B0W_A00_R1,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,14456,2520,865,238
602,34109,1876,00524_H01_P003819_B0H_A00_R2,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,36874,6029,2227,253
603,34110,1876,00524_H02_P003819_B0P_A00_R1,675,CCRF-CEM,leukemia,/,T-cell,/,,PXD005940,35132,5932,1486,312
604,33905,1876,00522_A10_P003814_B0A_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,1053,172,82,11
605,33906,1876,00522_A11_P003814_B0I_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,32123,5193,1915,240
606,33907,1876,00522_A12_P003814_B0Q_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,36925,6022,1487,346
607,33917,1876,00522_B10_P003814_B0B_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,13727,2452,1040,72
608,33918,1876,00522_B11_P003814_B0J_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,42799,7308,2400,359
609,33919,1876,00522_B12_P003814_B0R_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,36744,6117,1827,354
610,33929,1876,00522_C10_P003814_B0C_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,34068,5667,2082,171
611,33930,1876,00522_C11_P003814_B0K_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,36797,6271,1587,266
612,33931,1876,00522_C12_P003814_B0S_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,35589,5850,1961,383
613,33941,1876,00522_D10_P003814_B0D_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,37477,6292,2311,247
614,33942,1876,00522_D11_P003814_B0L_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,41491,6897,2201,350
615,33943,1876,00522_D12_P003814_B0T_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,30089,5026,1510,345
616,33953,1876,00522_E10_P003814_B0E_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,38612,6298,2182,234
617,33954,1876,00522_E11_P003814_B0M_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,39860,6781,1761,319
618,33955,1876,00522_E12_P003814_B0U_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,26416,4521,1211,331
619,33965,1876,00522_F10_P003814_B0F_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,38466,6574,2475,299
620,33966,1876,00522_F11_P003814_B0N_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,41182,6954,1997,346
621,33967,1876,00522_F12_P003814_B0V_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,20113,3235,835,245
622,33977,1876,00522_G10_P003814_B0G_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,41745,7143,2407,311
623,33978,1876,00522_G11_P003814_B0O_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,40920,6552,1999,316
624,33979,1876,00522_G12_P003814_B0W_A00_R1,692,NCI-H460,carcinoma ,/,lung,/,,PXD005940,16201,2833,835,252
625,34079,1876,00523_H04_P003816_B0H_A00_R1,693,KM12,carcinoma,/,colon,/,,PXD005940,39503,6754,2026,303
626,34080,1876,00523_H05_P003816_B0P_A00_R1,693,KM12,carcinoma,/,colon,/,,PXD005940,48602,8243,2058,425
627,34084,1876,00523_H09_P003817_B0X_A00_R1,693,KM12,carcinoma,/,colon,/,,PXD005940,24493,4035,1569,335
628,34085,1876,00523_H10_P003818_B0H_A00_R1,693,KM12,carcinoma,/,colon,/,,PXD005940,53182,8802,2801,324
629,34089,1876,00524_A02_P003819_B0I_A00_R2,693,KM12,carcinoma,/,colon,/,,PXD005940,39696,6515,2494,252
630,34090,1876,00524_A03_P003819_B0Q_A00_R1,693,KM12,carcinoma,/,colon,/,,PXD005940,35630,5679,1516,332
631,34094,1876,00524_C01_P003819_B0C_A00_R2,693,KM12,carcinoma,/,colon,/,,PXD005940,33731,5664,1856,157
632,34095,1876,00524_C02_P003819_B0K_A00_R2,693,KM12,carcinoma,/,colon,/,,PXD005940,39335,6564,2215,277
633,34099,1876,00524_D03_P003819_B0T_A00_R1,693,KM12,carcinoma,/,colon,/,,PXD005940,30812,5137,1364,313
634,34103,1876,00524_F01_P003819_B0F_A00_R2,693,KM12,carcinoma,/,colon,/,,PXD005940,36967,6208,2049,265
635,34107,1876,00524_G02_P003819_B0O_A00_R2,693,KM12,carcinoma,/,colon,/,,PXD005940,41667,7220,2078,297
636,34111,1876,00524_H03_P003819_B0X_A00_R1,693,KM12,carcinoma,/,colon,/,,PXD005940,10360,1711,631,174
637,31138,1819,A431_01uM_DON_1_1,554,A431,Skin squamous cell carcinoma,deoxynivalenol,skin,/,,PXD008996,93534,21009,7057,1467
638,31139,1819,A431_01uM_DON_1_2,554,A431,Skin squamous cell carcinoma,deoxynivalenol,skin,/,,PXD008996,94226,21124,7042,1441
639,31140,1819,A431_01uM_DON_2_1,554,A431,Skin squamous cell carcinoma,deoxynivalenol,skin,/,,PXD008996,99929,22782,7755,1577
640,31141,1819,A431_01uM_DON_2_2,554,A431,Skin squamous cell carcinoma,deoxynivalenol,skin,/,,PXD008996,78792,16368,5535,1388
641,31142,1819,A431_01uM_DON_3_1,554,A431,Skin squamous cell carcinoma,deoxynivalenol,skin,/,,PXD008996,78427,15304,5153,1253
642,31143,1819,A431_01uM_DON_3_2,554,A431,Skin squamous cell carcinoma,deoxynivalenol,skin,/,,PXD008996,78265,15130,5077,1243
643,31144,1819,A431_10uM_DON_1_1,554,A431,Skin squamous cell carcinoma,deoxynivalenol,skin,/,,PXD008996,79934,16356,5427,1217
644,31145,1819,A431_10uM_DON_1_2,554,A431,Skin squamous cell carcinoma,deoxynivalenol,skin,/,,PXD008996,81247,16899,5577,1249
645,31146,1819,A431_10uM_DON_2_1,554,A431,Skin squamous cell carcinoma,deoxynivalenol,skin,/,,PXD008996,83486,17943,5913,1336
646,31147,1819,A431_10uM_DON_2_2,554,A431,Skin squamous cell carcinoma,deoxynivalenol,skin,/,,PXD008996,81661,17324,5636,1290
647,31148,1819,A431_10uM_DON_3_1,554,A431,Skin squamous cell carcinoma,deoxynivalenol,skin,/,,PXD008996,87397,16965,5737,1276
648,31149,1819,A431_10uM_DON_3_2,554,A431,Skin squamous cell carcinoma,deoxynivalenol,skin,/,,PXD008996,92497,19450,6611,1351
649,31150,1819,A431_1uM_DON_1_1,554,A431,Skin squamous cell carcinoma,deoxynivalenol,skin,/,,PXD008996,80722,15812,5327,1241
650,31151,1819,A431_1uM_DON_1_2,554,A431,Skin squamous cell carcinoma,deoxynivalenol,skin,/,,PXD008996,75476,13962,4642,1133
651,31152,1819,A431_1uM_DON_2_1,554,A431,Skin squamous cell carcinoma,deoxynivalenol,skin,/,,PXD008996,82437,16076,5395,1261
652,31153,1819,A431_1uM_DON_2_2,554,A431,Skin squamous cell carcinoma,deoxynivalenol,skin,/,,PXD008996,77302,15082,4977,1250
653,31154,1819,A431_1uM_DON_3_1,554,A431,Skin squamous cell carcinoma,deoxynivalenol,skin,/,,PXD008996,90903,19542,6535,1425
654,31155,1819,A431_1uM_DON_3_2,554,A431,Skin squamous cell carcinoma,deoxynivalenol,skin,/,,PXD008996,84409,16103,5361,1280
655,31156,1819,A431_control_1_1,555,A431,Skin squamous cell carcinoma,/,skin,/,,PXD008996,92878,21295,7069,1480
656,31157,1819,A431_control_1_2,555,A431,Skin squamous cell carcinoma,/,skin,/,,PXD008996,93743,21390,7155,1485
657,31158,1819,A431_control_2_1,555,A431,Skin squamous cell carcinoma,/,skin,/,,PXD008996,89022,18106,6076,1376
658,31159,1819,A431_control_2_2,555,A431,Skin squamous cell carcinoma,/,skin,/,,PXD008996,85609,17956,6011,1374
659,31160,1819,A431_control_3_1,555,A431,Skin squamous cell carcinoma,/,skin,/,,PXD008996,92253,19285,6559,1371
660,31161,1819,A431_control_3_2,555,A431,Skin squamous cell carcinoma,/,skin,/,,PXD008996,88654,17673,5990,1320
661,31162,1820,161021_deSDS_Digested_cells_1SDS_01_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,40216,7051,1918,314
662,31163,1820,161021_deSDS_Digested_cells_1SDS_01_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,33347,5174,1385,282
663,31164,1820,161021_deSDS_Digested_cells_1SDS_02_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,42218,7376,2054,335
664,31165,1820,161021_deSDS_Digested_cells_1SDS_02_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,37910,6335,1706,308
665,31166,1820,161021_deSDS_Digested_cells_1SDS_03_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,39671,7118,1990,375
666,31167,1820,161021_deSDS_Digested_cells_1SDS_03_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,39385,6521,1715,306
667,31168,1820,161021_deSDS_Digested_cells_1SDS_04_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,42348,7658,2121,367
668,31169,1820,161021_deSDS_Digested_cells_1SDS_04_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,20641,1391,332,20
669,31170,1820,161021_deSDS_Digested_cells_1SDS_05_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,41626,7507,2262,320
670,31171,1820,161021_deSDS_Digested_cells_1SDS_05_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,19321,1278,211,17
671,31172,1820,161021_deSDS_Digested_cells_1SDS_06_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,42033,7117,2576,348
672,31173,1820,161021_deSDS_Digested_cells_1SDS_06_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,19500,986,332,20
673,31174,1820,161021_deSDS_Digested_cells_1SDS_07_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,37616,6651,1989,349
674,31175,1820,161021_deSDS_Digested_cells_1SDS_07_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,23043,1940,480,79
675,31176,1820,161021_deSDS_Digested_cells_1SDS_08_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,38469,6212,2073,340
676,31177,1820,161021_deSDS_Digested_cells_1SDS_08_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,36201,5483,1921,310
677,31178,1820,161021_deSDS_Digested_cells_1SDS_09_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,39642,6664,2193,344
678,31179,1820,161021_deSDS_Digested_cells_1SDS_09_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,34044,5239,1828,388
679,31180,1820,161021_deSDS_Digested_cells_1SDS_10_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,24374,2109,763,191
680,31181,1820,161021_deSDS_Digested_cells_1SDS_10_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,31432,3720,1267,315
681,31182,1820,161021_deSDS_Digested_cells_1SDS_11_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,25933,3239,1004,181
682,31183,1820,161021_deSDS_Digested_cells_1SDS_11_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,28855,3244,1120,189
683,31184,1820,161021_deSDS_Digested_cells_1SDS_12_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,18512,2108,780,116
684,31185,1820,161021_deSDS_Digested_cells_1SDS_12_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,17393,936,391,24
685,31186,1820,161021_deSDS_Digested_cells_1SDS_13_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,26267,2868,1048,215
686,31187,1820,161021_deSDS_Digested_cells_1SDS_13_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,18696,1164,475,100
687,31188,1820,161021_deSDS_Digested_cells_1SDS_14_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,19048,1261,493,110
688,31189,1820,161021_deSDS_Digested_cells_1SDS_14_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,21271,1890,739,106
689,31190,1820,161021_deSDS_Digested_cells_1SDS_15_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,21382,1192,451,86
690,31191,1820,161021_deSDS_Digested_cells_1SDS_15_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,18233,936,390,69
691,31192,1820,161021_deSDS_Digested_cells_1SDS_16_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,45532,8023,2400,403
692,31193,1820,161021_deSDS_Digested_cells_1SDS_16_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,45302,8303,2513,394
693,31194,1820,161021_deSDS_Digested_cells_1SDS_17_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,41504,7508,2022,349
694,31195,1820,161021_deSDS_Digested_cells_1SDS_17_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,33411,4535,1124,254
695,31196,1820,161021_deSDS_Digested_cells_1SDS_18_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,39149,6310,1782,322
696,31197,1820,161021_deSDS_Digested_cells_1SDS_18_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,20470,1126,316,47
697,31198,1820,161021_deSDS_Digested_cells_1SDS_19_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,34063,4637,1384,280
698,31199,1820,161021_deSDS_Digested_cells_1SDS_19_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,35451,4204,1138,191
699,31200,1820,161021_deSDS_Digested_cells_1SDS_20_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,44200,7882,1893,235
700,31201,1820,161021_deSDS_Digested_cells_1SDS_20_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,43545,7292,1952,293
701,31202,1820,161021_deSDS_Digested_cells_1SDS_21_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,45778,8618,2617,468
702,31203,1820,161021_deSDS_Digested_cells_1SDS_21_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,47256,8646,2429,440
703,31204,1820,161021_deSDS_Digested_cells_1SDS_22_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,44774,8578,2181,333
704,31205,1820,161021_deSDS_Digested_cells_1SDS_22_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,43333,7546,1924,337
705,31206,1820,161021_deSDS_Digested_cells_1SDS_23_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,40764,7804,2008,345
706,31207,1820,161021_deSDS_Digested_cells_1SDS_23_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,29112,2762,645,68
707,31208,1820,170322_HEK_RP_01_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,22447,3818,1096,250
708,31209,1820,170322_HEK_RP_01_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,25398,3888,1119,230
709,31210,1820,170322_HEK_RP_02_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,26532,4520,1235,280
710,31211,1820,170322_HEK_RP_02_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,26510,4522,1179,290
711,31212,1820,170322_HEK_RP_03_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,27097,4963,1256,294
712,31213,1820,170322_HEK_RP_03_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,27469,5162,1317,303
713,31214,1820,170322_HEK_RP_04_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,29407,5791,1906,375
714,31215,1820,170322_HEK_RP_04_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,29671,5939,2017,377
715,31216,1820,170322_HEK_RP_05_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,23294,3638,1209,230
716,31217,1820,170322_HEK_RP_05_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,22258,3400,1134,212
717,31218,1820,170322_HEK_RP_06_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,28744,5806,1565,357
718,31219,1820,170322_HEK_RP_06_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,30597,6276,1645,341
719,31220,1820,170322_HEK_RP_07_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,28842,5291,1636,354
720,31221,1820,170322_HEK_RP_07_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,27026,4928,1457,320
721,31222,1820,170322_HEK_RP_08_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,24596,4025,931,258
722,31223,1820,170322_HEK_RP_08_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,25006,4166,972,275
723,31224,1820,170322_HEK_RP_09_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,24834,3655,1077,271
724,31225,1820,170322_HEK_RP_09_B,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,24633,3478,1039,258
725,31226,1820,170322_HEK_RP_10_A,556,HEK293,healthy,/,fetal kidney,HEK293F,,PXD006035,28541,5387,1491,323
